TF	target	importance
g13	g18	98.76082630198343
g39	g45	93.86108901992647
g3	g45	88.43754979352072
g45	g39	88.36063807730116
g3	g30	84.04076901254169
g45	g3	81.12459893577157
g14	g41	76.3117180367189
g30	g2	74.65956416506296
g2	g30	74.25916647012856
g36	g46	73.24202173147273
g46	g36	71.05497383676412
g30	g56	70.62497582033504
g3	g39	66.07607814487892
g12	g22	65.07672591439147
g14	g46	62.307746586957634
g22	g12	61.260048569832115
g56	g30	60.100045770918044
g2	g56	58.56298102423653
g4	g3	58.54442695040969
g14	g36	58.45767727707926
g14	g13	57.59358800107967
g56	g2	57.32615069418489
g2	g1	56.99145336756535
g39	g3	55.21378252904235
g36	g41	53.994473547854774
g41	g14	53.73965960413
g3	g4	53.12423546048197
g14	g18	49.93298371497351
g4	g45	49.3789280619997
g18	g47	48.445581489823795
g46	g41	47.724247403757346
g4	g39	47.38159266760285
g41	g46	47.301264111511934
g41	g36	46.37747875636795
g22	g17	46.25092551811813
g45	g4	45.87951886816748
g36	g14	45.06146182023165
g17	g22	44.35765305422507
g39	g30	43.7203793477038
g30	g39	43.70115152515121
g13	g46	43.43111902454206
g50	g1	42.58560615977469
g3	g2	42.54692337641413
g41	g13	41.92232774437003
g3	g56	40.81484757699105
g20	g22	40.50191152681387
g22	g20	40.21543589743463
g17	g12	39.80972710734548
g13	g36	39.78636196424839
g56	g45	39.213180361994525
g46	g14	38.861818163527296
g18	g13	38.8326906624943
g13	g47	38.70909130703542
g30	g1	37.14917360219804
g47	g14	36.80403245259018
g18	g41	35.60660918723183
g18	g14	35.53759739793039
g12	g17	35.38291344876237
g47	g41	35.347841130744186
g47	g18	35.331748858593805
g1	g2	35.20121926500017
g17	g20	34.69188571181013
g47	g13	34.59323509718997
g47	g22	34.396444791914384
g13	g41	34.35374984208687
g41	g47	33.84997062045311
g46	g18	33.841573553458154
g39	g56	33.585364679853974
g46	g13	33.41556521783745
g18	g46	33.15578687914109
g61	g50	33.0462348701572
g30	g45	32.910809420231836
g20	g12	32.751134107429
g47	g12	31.72666986551048
g45	g56	31.692282756249774
g1	g50	30.797174156214705
g46	g47	30.453978947850857
g14	g47	30.38306223606941
g41	g18	30.06146214250239
g47	g36	29.605315909133985
g56	g39	29.227727388476257
g50	g6	29.22696985631113
g12	g20	28.953744415167876
g12	g13	28.64269379791466
g10	g11	28.616538996515054
g13	g14	28.572550273936386
g2	g39	28.522858717805775
g2	g50	28.20755784283428
g18	g12	27.047662627130677
g9	g55	26.928452334201964
g39	g2	26.869397746515276
g61	g6	26.753457121911534
g61	g1	26.734984743217307
g11	g57	26.344230513826762
