Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
KEGG_2019	ErbB signaling pathway	3/102	0.00013784251476140066	0.0022054802361824105	0.0014202962947649216	0.022724740716238746	-8.669138469897351	77.06342843384431	erbb2;erbb3b;nrg1
KEGG_2019	Other types of O-glycan biosynthesis	1/29	0.0286173881551594	0.0773303635800772	0.06487927462530894	0.2595170985012358	-12.943604019687458	45.99821329539286	lfng
KEGG_2019	Notch signaling pathway	1/60	0.058347327070767695	0.13336531901889756	0.1278211954435808	0.29216273244247065	-10.932249061423821	31.062255459387718	lfng
KEGG_2019	C-type lectin receptor signaling pathway	1/120	0.11345095259976364	0.20169058239957985	0.23867731818769244	0.42151514683933267	-8.012191720619013	17.437611243014995	egr2b
KEGG_2019	Adherens junction	1/97	0.09270017716389536	0.18540035432779078	0.19781866870344078	0.39563733740688156	-5.5362667485212524	13.167373210807725	erbb2
KEGG_2019	Phagosome	1/152	0.14157275056064564	0.20781016911033093	0.2923341381895818	0.42151514683933267	-4.96504959748195	9.706381784650283	canx
KEGG_2019	RNA transport	1/158	0.14675035183444854	0.20781016911033093	0.30199749647868945	0.42151514683933267	-4.830204090756794	9.269269956706976	eif3ha
KEGG_2019	Focal adhesion	2/234	0.022546652518450443	0.0773303635800772	0.09479231420823386	0.29216273244247065	-1.6756999626196922	6.354536900457053	erbb2;cav1
KEGG_2019	Cytokine-cytokine receptor interaction	2/181	0.01390481905512769	0.074159034960681	0.06081818858343312	0.2595170985012358	-1.3090988848021647	5.597078207780533	tnfrsf19;ackr3b
KEGG_2019	Wnt signaling pathway	1/184	0.16884576240214383	0.20781016911033093	0.3424810568069577	0.42151514683933267	-0.10507848302927948	0.1869104143037482	dkk2
KEGG_2019	MAPK signaling pathway	3/362	0.005333685977770142	0.04266948782216114	0.04343099096336232	0.2595170985012358	-0.017543859649122823	0.09181952152218342	erbb2;erbb3b;mapk8ip3
KEGG_2019	Protein processing in endoplasmic reticulum	1/176	0.16210574235537262	0.20781016911033093	0.33026160328674575	0.42151514683933267	1.1089007494741772	-2.017652039572032	canx
KEGG_2019	Calcium signaling pathway	2/268	0.028998886342528944	0.0773303635800772	0.11899528207448859	0.29216273244247065	0.7307672658450799	-2.5872799348280022	erbb2;erbb3b
KEGG_2019	Tight junction	1/211	0.1912150956027677	0.21853153783173457	0.3822187803063806	0.4368214632072918	4.414519970541224	-7.303189055340077	erbb2
KEGG_2019	Neuroactive ligand-receptor interaction	1/461	0.37288189786382886	0.37288189786382886	0.6581876023195276	0.6581876023195276	12.496886785905067	-12.328098049245133	s1pr2
KEGG_2019	Endocytosis	1/302	0.2624704036247471	0.2799684305330637	0.5004044086180895	0.5337647025259623	10.513207882808363	-14.062645077670254	cav1
