	g0	g1	g10	g11	g12	g13	g14	g15	g16	g17	g18	g19	g2	g20	g21	g22	g23	g24	g25	g26	g27	g28	g29	g3	g30	g31	g32	g33	g34	g35	g36	g37	g38	g39	g4	g40	g41	g42	g43	g44	g45	g46	g47	g48	g49	g5	g50	g51	g52	g53	g54	g55	g56	g57	g58	g59	g6	g60	g61	g62	g63	g64	g7	g8	g9
E52_1880	1.9657726845474728	0.0055938285053528936	2.370871193081989	2.015227296767122	1.9455972959366528	1.1686661376371248	2.6052349929114373	0.008625159043928559	0.0	1.76310868542747	1.2901254124156694	2.333610658506462	0.0	2.1439040247305727	0.0	1.8797478730587265	0.0	0.0	0.015303740306852928	0.0	1.985777434835208	0.0	0.0	0.0	0.0	2.057053035634838	0.0	0.0	0.03803811364287305	0.0	2.2024523570679264	0.0	0.0	0.0	0.0	0.0	1.933738082568709	1.5603787302719303	2.079771181379252	0.0	0.0	1.6339855624216848	1.754523074234991	2.0843485397894006	0.0	0.029225015928726363	0.0	0.0	0.0	0.0	0.014318638732139387	0.0	0.0	0.00023820082343271724	1.7889551176620302	1.8897499875201915	0.0	2.326791319219572	0.01877564861279221	0.09335715313606358	0.0	2.8645702079667412	0.0	1.8489723715405968	0.0
E247_1477	0.0	0.0015764278168344866	0.0	0.0	0.0355088049116286	0.04781535636303902	0.0	0.5456707808124135	2.5803380885034435	0.0	0.0	2.77392391894646	0.0	0.0027298210846695035	0.0	0.0	1.7875022530708191	1.945099226467668	2.397464614800481	0.0	2.39297232102619	2.047161439995677	2.4070074043383016	0.028259925074540868	0.0	0.0	0.0	2.285998372696408	0.06736832539465967	0.0	0.0	1.7148948393393375	2.065387746447762	0.0	0.003370127346212523	0.12503984050496586	0.0	1.981454927258928	1.8239348610716208	0.0	0.007964623433384891	0.0	0.0	0.0	1.712714536818856	0.08789456047786166	0.0	2.2397054437614567	1.7839939351947485	1.8758036484617115	0.0	0.0	0.0	2.17384336213758	0.0	0.0	0.003188681471472536	0.0	0.0	0.0	0.0	2.2028919184440294	2.0141362715515307	2.129290495592723	0.0
E81_899	2.289229216051147	0.0	0.0	0.002461703128953525	0.0	0.008667897324908537	0.0	2.009428959415258	0.0	0.0	0.0	2.7630937860625093	0.0	0.0	0.0	0.0	0.0	0.0	2.5704440917875613	2.617143451807937	0.0	0.0	2.1416518283411388	0.0069913608416388865	0.0	0.0	0.0	2.317465157764913	0.0	2.244901609255925	0.0	2.387638740636433	0.0	0.0259445635320342	0.08572149041609597	0.0	0.0	2.5627429742632417	0.0	1.8768970847956472	0.013316423761579162	0.0005778972130244134	0.0	0.0	0.0	0.0	0.0	2.3566719714310747	1.3098377224600468	2.1109480828801868	0.0	0.0007680838173315022	0.0	2.0606377268990914	2.035695911331794	0.0	0.0	2.2412815443409344	0.6274270108827016	0.0	1.8611577147458904	0.0	0.0	1.2706701158983045	0.0
E158_1139	2.292010962152516	0.0	0.0	0.0	0.002596064537743207	0.0	0.0	1.8090321209862144	0.0	0.0	0.0	2.694386051185941	0.0	0.012650779104611942	0.0	0.0020933241266319308	2.5529386764480737	0.0	0.0	1.786853165345586	2.2087136122645927	1.8874032328345007	2.4961514358995136	0.09583761232707218	0.10947896490917458	0.0	0.0	2.427417294559851	0.0	0.0	0.002882898641924844	2.003497109830167	1.908071185091627	0.0	0.0	0.0	0.0	0.0	1.9794390560365127	2.0930654554791435	0.0	0.0	0.00636243708930816	0.0	1.8953774463378288	0.025362455286165545	0.0	0.0	1.6940408976210104	2.6718263839857816	0.02639523904864356	0.009046057864052114	0.0	1.5727147731481796	0.0	0.0	0.0	2.182879984332572	0.0	0.0	2.3094198593499042	0.0	2.4132133885624407	0.4263498368833409	0.0
E141_1411	0.0	0.0	0.0	1.902276531408024	0.0	0.0	0.0	0.0	0.0	0.9560357379716179	0.0	2.575075716892411	0.03283376818798135	0.7462588289787737	2.3912005800220224	0.0	0.0	0.0	2.8355739197318184	0.0	0.0	2.0681378706427087	2.4766292849241176	0.16057046025524152	0.0	1.5161063655543332	0.0	0.0	0.0	2.1028988093158687	0.0076466577853817564	2.3985320653176343	0.0	0.0	0.05648968206865833	2.0014723325732207	0.0	2.7022883619592144	0.0	0.0	0.0	0.0	0.0	0.0	1.2580660980116334	0.0	0.0	2.0374721410735868	1.4202458873418429	0.0	0.12324732121512708	1.6198573932783285	0.02045949610891593	0.0	0.0	2.3341843160054934	0.014467369702617609	0.0	0.0	0.0	2.5430540166268845	2.180066774476308	0.0	2.3462600177955943	1.927918430434367
E113_1392	2.4266438111481348	0.02942025615189789	1.9346403089908024	2.067942325407066	1.9183161018344224	0.0	0.0	0.0	0.0	2.181077288573792	0.0	0.0	0.005058797166205642	2.1076913137790654	0.0	2.222304619127072	0.0	2.292616248996917	0.0	0.0	0.0	1.8783976698418663	0.0	0.002878015125678718	0.0	2.3614719674833418	3.0250484206617987	0.0	0.07598699943225079	2.109671719970806	0.0	0.0	1.2970788850795143	0.0035820141202991904	0.0025917269494009697	2.1412891335011497	0.0	0.0	2.0759844342051594	0.02215142723896673	0.0	0.0	1.7163249235953848	0.0	0.0	0.009885650070952587	0.0	2.2632079210571967	2.0645734825154207	0.0	0.0	1.7209421122044384	0.00281339521278964	0.0325907609346706	0.0	2.4651909088190505	0.0	0.0	0.0	0.0	2.316713847624405	2.316714591493924	0.0	2.3212960442101425	0.0
E186_1355	0.0	0.0	1.9824969045853515	2.065569375526783	0.0	0.0	0.0	0.01292062724217522	0.0	1.7377147583830328	0.0	2.7195598977113864	0.0	1.7633157022167103	2.3775339087695904	1.818852393703396	1.8446737959227524	1.5222461886823389	0.0	0.002623417256048056	0.0	2.403957657114168	2.6571123529385225	0.0	0.0	2.2760784026357452	1.726023408943174	1.4268240736197595	0.0002554702313217539	0.0	0.0	0.0	0.0	0.012872805864784715	0.06573878552016167	0.0	0.0	2.5895397948135326	1.9371923785981089	0.011181028085750685	0.0	0.0	0.014620598227041044	2.1114220184812584	0.0	0.052027349117500114	0.0	0.0	2.0955564747614184	0.0	0.03543684119471045	1.4502317000918938	0.0	0.0	2.461959497773146	0.0	0.0047750362423059295	0.0	0.0	0.0	2.3675349594026827	2.5003614409553414	2.214796875493413	1.6178723364705865	2.577483431809368
E85_1703	2.4696459435475675	0.0	2.449420794838674	2.2257504961888346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3823440406366925	0.0	1.1565067276734866	2.4284147393776254	0.0	2.075610482890096	0.0	0.0	0.0	2.876020826403684	2.0733044030217003	0.0	0.0	0.0	2.0638582500680647	0.0	2.244843278385229	0.004883316251798744	0.0	0.0	0.0	2.1071988876326047	0.0	0.018807743342544283	1.862637089529381	0.0	0.0	2.23243217828772	0.0	0.007162727137229227	0.018219957773719108	0.0	0.0	1.8887889956728	0.0	0.0	2.155252852775932	1.9550318252054841	0.022349450026148857	0.03440441078273283	1.8335840646880133	0.0	0.0	2.4600990611336027	0.0	0.0	0.0	0.0	1.2083401733152035	2.326986258075769	2.302829038412085	1.439609746365833	0.0	2.2684103935388897
E232_1080	1.542745335510442	1.3463165547342062	0.0	0.0	0.0013440867614302506	0.0	0.0025000650489104183	2.0423963385053665	0.0	0.0	0.0	0.0	1.5426768037817615	0.0	0.0	0.0	2.094489799873759	2.196442124076112	0.0	0.0	0.0	0.0	2.8370145972501293	1.479077665577954	1.6188807720031957	0.0	0.0	0.0	0.0	0.0	0.0	2.337724874416319	1.8390317629409232	1.4243723197935545	1.6712519478759007	0.0007188786307359131	0.0	0.0	0.05083954773447314	1.6194421870643865	1.2967272496222402	0.010542334422529095	0.005380178294363094	0.0	0.0	0.03157926095927198	2.582458405680627	2.4701832290645536	2.137733743897304	2.1468548320136502	0.10054609486463907	0.0	1.5509461351881848	0.0	0.43081854373958506	0.0050926727174989295	2.0592306903617543	0.0	0.0	2.5508132567755686	0.0	0.3776780455161737	0.020970969608477025	0.0	0.0
E142_457	2.335811928667009	2.179488830340836	0.0	0.0	0.0009407703831647297	0.07225021986564356	0.0	1.8530785710888007	0.0	0.0	0.0	0.0	1.9675284391833552	0.0	0.0	0.0	1.6805256330600369	2.242674894958373	2.1096174645283527	0.0	2.541677437112923	0.0	2.5487776696132527	0.6256502899866092	2.2694205003644035	0.0	0.0	0.0	0.0	0.0	0.0	1.697811344490614	1.9692870952821853	0.6247253454382371	0.007924242733794242	0.0	0.008561146522705185	0.0	0.014290394056548953	1.902131448018741	0.821940131951185	0.003930448095367635	0.0	0.0	1.3878355187563711	0.03538631557108268	2.3250643145557834	0.0	0.0	0.0	0.0	0.0	1.7293356672797715	1.6025875479655924	0.0	0.0	1.9782846820076283	0.0	0.0	0.0	0.0	1.2366072040802096	0.0	0.0	0.09237188298625658
