Gene1	Gene2	corVal	pValue
g0	g0	1	0
g1	g1	1	0
g10	g10	1	0
g11	g11	1	0
g12	g12	1	0
g13	g13	1	0
g14	g14	1	0
g15	g15	1	0
g16	g16	1	0
g17	g17	1	0
g18	g18	1	0
g19	g19	1	0
g2	g2	1	0
g20	g20	1	0
g21	g21	1	0
g22	g22	1	0
g23	g23	1	0
g24	g24	1	0
g25	g25	1	0
g26	g26	1	0
g27	g27	1	0
g28	g28	1	0
g29	g29	1	0
g3	g3	1	0
g30	g30	1	0
g31	g31	1	0
g32	g32	1	0
g33	g33	1	0
g34	g34	1	0
g35	g35	1	0
g36	g36	1	0
g37	g37	1	0
g38	g38	1	0
g39	g39	1	0
g4	g4	1	0
g40	g40	1	0
g41	g41	1	0
g42	g42	1	0
g43	g43	1	0
g44	g44	1	0
g45	g45	1	0
g46	g46	1	0
g47	g47	1	0
g48	g48	1	0
g49	g49	1	0
g5	g5	1	0
g50	g50	1	0
g51	g51	1	0
g52	g52	1	0
g53	g53	1	0
g54	g54	1	0
g55	g55	1	0
g56	g56	1	0
g57	g57	1	0
g58	g58	1	0
g59	g59	1	0
g6	g6	1	0
g60	g60	1	0
g61	g61	1	0
g62	g62	1	0
g63	g63	1	0
g64	g64	1	0
g7	g7	1	0
g8	g8	1	0
g9	g9	1	0
g30	g2	0.343837602240306	5.57742368911693e-08
g2	g30	0.343837602240306	5.57742368911701e-08
g17	g12	0.319386132220753	5.08520466798951e-07
g12	g17	0.319386132220753	5.08520466798961e-07
g36	g14	0.279022900467524	1.30247415138658e-05
g14	g36	0.279022900467524	1.3024741513866e-05
g18	g47	0.277468369516513	1.46160331446524e-05
g47	g18	0.277468369516513	1.46160331446525e-05
g3	g39	0.263090721441537	4.10835732616989e-05
g39	g3	0.263090721441537	4.10835732616994e-05
g17	g22	0.262412681156144	4.30735542527779e-05
g22	g17	0.262412681156144	4.30735542527784e-05
g46	g36	0.250296197678188	9.8170836736818e-05
g36	g46	0.250296197678188	9.81708367368182e-05
g41	g14	0.247165396728423	0.000120666449068547
g14	g41	0.247165396728422	0.000120666449068548
g13	g41	0.241536482702167	0.000173696067393996
g41	g13	0.241536482702167	0.000173696067393997
g13	g64	0.231087523002077	0.000333970406002195
g64	g13	0.231087523002077	0.000333970406002197
g2	g56	0.230910849348819	0.000337598573162861
g56	g2	0.230910849348819	0.000337598573162869
g39	g45	0.22875631941701	0.000384893307386169
g45	g39	0.22875631941701	0.00038489330738617
g45	g3	0.226669989258327	0.000436489937921731
g3	g45	0.226669989258327	0.000436489937921732
g50	g6	0.218634439587627	0.000701137279066298
g6	g50	0.218634439587627	0.000701137279066301
g13	g18	0.217167309719831	0.000763134428458976
g18	g13	0.217167309719831	0.000763134428458984
g56	g3	0.215469209556686	0.000841187022587206
g3	g56	0.215469209556686	0.000841187022587208
g23	g60	0.214353773278518	0.000896392556238338
g60	g23	0.214353773278518	0.00089639255623834
g56	g30	0.212991085080018	0.000968357705578933
g30	g56	0.212991085080018	0.000968357705578956
g23	g40	0.202825790112053	0.00169732787468432
g40	g23	0.202825790112053	0.00169732787468433
g28	g44	0.202412764449093	0.00173552091490235
g44	g28	0.202412764449093	0.00173552091490237
g9	g2	0.200294670629296	0.00194401109506506
g2	g9	0.200294670629296	0.00194401109506506
g12	g20	0.198726234304276	0.00211285166375116
g20	g12	0.198726234304275	0.00211285166375118
g4	g20	0.198657135649495	0.00212058850710902
g20	g4	0.198657135649495	0.00212058850710903
g32	g30	0.192385811454423	0.00294027784636526
g30	g32	0.192385811454423	0.00294027784636528
g24	g19	0.187497608633161	0.00376793018429587
g19	g24	0.187497608633161	0.0037679301842959
g10	g11	0.187014903450861	0.00386013006152795
g11	g10	0.187014903450861	0.00386013006152795
g20	g22	0.18547172238463	0.00416870972337561
g22	g20	0.18547172238463	0.00416870972337564
g18	g41	0.177806085094635	0.00605621041010442
g41	g18	0.177806085094635	0.00605621041010452
g59	g31	0.177441820332152	0.00616248099843222
g31	g59	0.177441820332152	0.00616248099843225
g27	g64	0.17607023342883	0.0065777548579959
g64	g27	0.17607023342883	0.00657775485799591
g22	g10	0.17531139376828	0.00681809607323171
g10	g22	0.175311393768279	0.00681809607323179
g0	g14	0.175018035114848	0.00691309074208578
g14	g0	0.175018035114848	0.0069130907420858
g47	g14	0.173745871352281	0.00733885047038109
g14	g47	0.173745871352281	0.00733885047038111
g63	g11	0.173290064876038	0.00749699208403358
g11	g63	0.173290064876038	0.00749699208403364
g45	g4	0.172750871229841	0.00768797977220414
g4	g45	0.172750871229841	0.00768797977220418
g46	g14	0.171293641695921	0.00822599862750202
g14	g46	0.171293641695921	0.00822599862750202
g62	g13	0.170247784524216	0.00863251472167945
g13	g62	0.170247784524216	0.00863251472167946
g2	g53	0.169520095429047	0.00892579115647548
g53	g2	0.169520095429047	0.00892579115647549
g58	g43	0.165087202714926	0.0109109466059487
g43	g58	0.165087202714926	0.0109109466059487
g53	g14	0.164178431713851	0.0113630371408177
g14	g53	0.164178431713851	0.0113630371408177
g15	g6	0.161880031794313	0.0125809501311412
g6	g15	0.161880031794313	0.0125809501311413
g18	g42	0.161113980024205	0.0130116544831806
g42	g18	0.161113980024205	0.0130116544831807
g43	g4	0.160555723682736	0.0133336391960732
g4	g43	0.160555723682736	0.0133336391960732
g2	g1	0.160319904799222	0.0134717409573103
g1	g2	0.160319904799222	0.0134717409573105
g62	g27	0.1593429806195	0.0140573199096336
g27	g62	0.1593429806195	0.0140573199096336
g0	g24	0.159200585067831	0.0141445110572191
g24	g0	0.159200585067831	0.0141445110572191
g30	g13	0.159132159476279	0.0141865775870024
g13	g30	0.159132159476279	0.0141865775870026
g19	g30	0.15853713834389	0.014557031073599
g30	g19	0.158537138343889	0.0145570310735992
g27	g40	0.158400827064897	0.0146430804786561
g40	g27	0.158400827064896	0.0146430804786562
g37	g54	0.157474993869159	0.0152394104718492
g54	g37	0.157474993869159	0.0152394104718493
g40	g9	0.15640456399034	0.0159552630781287
g9	g40	0.15640456399034	0.0159552630781288
g15	g44	0.15633449575804	0.0160031293615162
g44	g15	0.15633449575804	0.0160031293615163
g55	g48	0.15552369796416	0.016566206187614
g48	g55	0.15552369796416	0.0165662061876141
g38	g57	0.155137644143032	0.0168403324082577
