Gene1	Gene2	corVal	pValue
g0	g0	1	0
g1	g1	1	0
g10	g10	1	0
g11	g11	1	0
g12	g12	1	0
g13	g13	1	0
g14	g14	1	0
g15	g15	1	0
g16	g16	1	0
g17	g17	1	0
g18	g18	1	0
g19	g19	1	0
g2	g2	1	0
g20	g20	1	0
g21	g21	1	0
g22	g22	1	0
g23	g23	1	0
g24	g24	1	0
g25	g25	1	0
g26	g26	1	0
g27	g27	1	0
g28	g28	1	0
g29	g29	1	0
g3	g3	1	0
g30	g30	1	0
g31	g31	1	0
g32	g32	1	0
g33	g33	1	0
g34	g34	1	0
g35	g35	1	0
g36	g36	1	0
g37	g37	1	0
g38	g38	1	0
g39	g39	1	0
g4	g4	1	0
g40	g40	1	0
g41	g41	1	0
g42	g42	1	0
g43	g43	1	0
g44	g44	1	0
g45	g45	1	0
g46	g46	1	0
g47	g47	1	0
g48	g48	1	0
g49	g49	1	0
g5	g5	1	0
g50	g50	1	0
g51	g51	1	0
g52	g52	1	0
g53	g53	1	0
g54	g54	1	0
g55	g55	1	0
g56	g56	1	0
g57	g57	1	0
g58	g58	1	0
g59	g59	1	0
g6	g6	1	0
g60	g60	1	0
g61	g61	1	0
g62	g62	1	0
g63	g63	1	0
g64	g64	1	0
g7	g7	1	0
g8	g8	1	0
g9	g9	1	0
g45	g39	0.381589908187902	1.2408898670617e-09
g39	g45	0.381589908187902	1.24088986706173e-09
g56	g30	0.283614998994927	9.22829385891756e-06
g30	g56	0.283614998994927	9.22829385891762e-06
g18	g47	0.273975436420447	1.88892305620858e-05
g47	g18	0.273975436420447	1.88892305620862e-05
g41	g13	0.264466284107696	3.73096874315377e-05
g13	g41	0.264466284107695	3.73096874315383e-05
g17	g20	0.25911825805612	5.41041128375653e-05
g20	g17	0.25911825805612	5.41041128375655e-05
g22	g12	0.253046567018117	8.17164194134729e-05
g12	g22	0.253046567018117	8.17164194134733e-05
g20	g12	0.240386810225177	0.000186916229614119
g12	g20	0.240386810225177	0.000186916229614119
g53	g26	0.230919757204721	0.000337414767926459
g26	g53	0.230919757204721	0.00033741476792646
g30	g2	0.23005507551951	0.000355697085121072
g2	g30	0.23005507551951	0.000355697085121077
g2	g56	0.229843441112526	0.000360309861002786
g56	g2	0.229843441112525	0.000360309861002798
g46	g36	0.217225753383212	0.000760571029576656
g36	g46	0.217225753383211	0.000760571029576662
g2	g39	0.21493975164565	0.000866988273231152
g39	g2	0.21493975164565	0.000866988273231152
g14	g41	0.205514031137923	0.00146693740284882
g41	g14	0.205514031137923	0.00146693740284883
g14	g36	0.203052934401609	0.00167665243370837
g36	g14	0.203052934401608	0.0016766524337084
g9	g55	0.201338364789587	0.0018385786803726
g55	g9	0.201338364789587	0.0018385786803726
g1	g2	0.19494041669247	0.00257680956458998
g2	g1	0.194940416692469	0.00257680956459005
g28	g49	0.191460605628553	0.0030829816992372
g49	g28	0.191460605628553	0.0030829816992372
g51	g33	0.186697781975143	0.00392180573545065
g33	g51	0.186697781975143	0.00392180573545065
g47	g12	0.18527760661936	0.00420906059861234
g12	g47	0.18527760661936	0.00420906059861237
g39	g3	0.18366775067199	0.00455750604448048
g3	g39	0.18366775067199	0.0045575060444805
g21	g5	0.182031967948797	0.00493794666266059
g5	g21	0.182031967948797	0.00493794666266064
g6	g20	0.181823085496814	0.00498852811499867
g20	g6	0.181823085496814	0.00498852811499871
g52	g42	0.18094022535609	0.00520749564041245
g42	g52	0.18094022535609	0.00520749564041245
g22	g20	0.179200192981036	0.00566448278906293
g20	g22	0.179200192981036	0.00566448278906295
g42	g9	0.17664462942478	0.00640089492290938
g9	g42	0.17664462942478	0.00640089492290939
g59	g34	0.176643722287553	0.00640117085095505
g34	g59	0.176643722287553	0.00640117085095508
g29	g6	0.176639104092322	0.00640257575323091
g6	g29	0.176639104092322	0.00640257575323093
g42	g6	0.173833305316075	0.0073088575246774
g6	g42	0.173833305316075	0.00730885752467741
g15	g44	0.172181183694843	0.00789446446921967
g44	g15	0.172181183694843	0.0078944644692198
g29	g37	0.170788649104162	0.00842011008537993
g37	g29	0.170788649104162	0.00842011008537996
g13	g18	0.170440973937296	0.00855610653165544
g18	g13	0.170440973937296	0.00855610653165557
g10	g9	0.16525575450847	0.0108288649892905
g9	g10	0.16525575450847	0.0108288649892905
g16	g12	0.164295314262601	0.0113039799476029
g12	g16	0.164295314262601	0.011303979947603
g14	g13	0.164030933384396	0.011437951878856
g13	g14	0.164030933384396	0.011437951878856
g50	g1	0.163275937953671	0.0118282772292798
g1	g50	0.163275937953671	0.0118282772292798
g6	g61	0.162558889550639	0.012209802985516
g61	g6	0.162558889550639	0.0122098029855161
g39	g56	0.159947632504609	0.0136923100477264
g56	g39	0.159947632504609	0.0136923100477265
g4	g5	0.159180361581265	0.0141569326065489
g5	g4	0.159180361581264	0.0141569326065489
g8	g20	0.157106560615677	0.015482564519621
g20	g8	0.157106560615677	0.0154825645196211
g36	g44	0.156886112554369	0.015629669613289
g44	g36	0.156886112554369	0.015629669613289
g36	g41	0.156595344890102	0.0158255667395907
g41	g36	0.156595344890102	0.0158255667395909
g37	g42	0.154922589005529	0.0169947463290825
g42	g37	0.154922589005529	0.0169947463290825
g42	g48	0.154666907587739	0.0171799358696046
g48	g42	0.154666907587739	0.0171799358696046
g56	g1	0.153933470842933	0.0177209553969069
g1	g56	0.153933470842932	0.017720955396907
g17	g22	0.153558681265545	0.0180031026963437
g22	g17	0.153558681265545	0.0180031026963437
g34	g61	0.151264866669522	0.0198165730728096
g61	g34	0.151264866669522	0.0198165730728096
g45	g3	0.151199944282476	0.0198701269309783
g3	g45	0.151199944282476	0.0198701269309783
g37	g36	0.149437262597559	0.0213729038792782
g36	g37	0.149437262597559	0.0213729038792783
g39	g4	0.145896098642762	0.0246912571684299
g4	g39	0.145896098642762	0.0246912571684301
g26	g1	0.14544494591896	0.0251443182696973
g1	g26	0.14544494591896	0.0251443182696973
g42	g23	0.145355748605344	0.0252347345228776
g23	g42	0.145355748605344	0.0252347345228776
g51	g42	0.14409555603165	0.0265423354381384
g42	g51	0.14409555603165	0.0265423354381385
g34	g10	0.143866451338653	0.0267862034979081
g10	g34	0.143866451338653	0.0267862034979082
g32	g14	0.143693946626992	0.0269710907247244
g14	g32	0.143693946626992	0.0269710907247245
