Gene1	Gene2	corVal	pValue
g0	g0	1	0
g1	g1	1	0
g10	g10	1	0
g11	g11	1	0
g12	g12	1	0
g13	g13	1	0
g14	g14	1	0
g15	g15	1	0
g16	g16	1	0
g17	g17	1	0
g18	g18	1	0
g19	g19	1	0
g2	g2	1	0
g20	g20	1	0
g21	g21	1	0
g22	g22	1	0
g23	g23	1	0
g24	g24	1	0
g25	g25	1	0
g26	g26	1	0
g27	g27	1	0
g28	g28	1	0
g29	g29	1	0
g3	g3	1	0
g30	g30	1	0
g31	g31	1	0
g32	g32	1	0
g33	g33	1	0
g34	g34	1	0
g35	g35	1	0
g36	g36	1	0
g37	g37	1	0
g38	g38	1	0
g39	g39	1	0
g4	g4	1	0
g40	g40	1	0
g41	g41	1	0
g42	g42	1	0
g43	g43	1	0
g44	g44	1	0
g45	g45	1	0
g46	g46	1	0
g47	g47	1	0
g48	g48	1	0
g49	g49	1	0
g5	g5	1	0
g50	g50	1	0
g51	g51	1	0
g52	g52	1	0
g53	g53	1	0
g54	g54	1	0
g55	g55	1	0
g56	g56	1	0
g57	g57	1	0
g58	g58	1	0
g59	g59	1	0
g6	g6	1	0
g60	g60	1	0
g61	g61	1	0
g62	g62	1	0
g63	g63	1	0
g64	g64	1	0
g7	g7	1	0
g8	g8	1	0
g9	g9	1	0
g56	g30	0.335358200863369	1.22686315782611e-07
g30	g56	0.335358200863368	1.22686315782612e-07
g56	g2	0.296480818889686	3.40089598764165e-06
g2	g56	0.296480818889686	3.40089598764165e-06
g12	g20	0.266701797522237	3.18656699111311e-05
g20	g12	0.266701797522237	3.18656699111312e-05
g45	g39	0.246490275770723	0.00012611222290866
g39	g45	0.246490275770722	0.000126112222908661
g3	g45	0.245628992972907	0.000133394000332315
g45	g3	0.245628992972907	0.000133394000332315
g4	g30	0.243683027195502	0.000151320468392892
g30	g4	0.243683027195502	0.000151320468392893
g18	g13	0.236056010865621	0.000245626539119876
g13	g18	0.236056010865621	0.000245626539119881
g30	g2	0.232062601880343	0.000314589896147911
g2	g30	0.232062601880343	0.000314589896147914
g17	g22	0.229100652427006	0.000376943166410649
g22	g17	0.229100652427006	0.000376943166410653
g55	g35	0.226692579196541	0.000435898454787111
g35	g55	0.226692579196541	0.000435898454787113
g20	g17	0.225338298406257	0.000472703172157664
g17	g20	0.225338298406257	0.000472703172157668
g64	g17	0.225007046493447	0.00048213369539291
g17	g64	0.225007046493447	0.000482133695392913
g50	g1	0.222224724554661	0.000568508326192636
g1	g50	0.222224724554661	0.000568508326192644
g39	g3	0.216841198374718	0.000777584912742671
g3	g39	0.216841198374717	0.000777584912742677
g40	g9	0.215734100818714	0.000828545798658396
g9	g40	0.215734100818714	0.000828545798658399
g11	g31	0.206604784802313	0.00138191301498012
g31	g11	0.206604784802312	0.00138191301498014
g18	g14	0.204312518274474	0.00156612042869663
g14	g18	0.204312518274474	0.00156612042869665
g28	g2	0.204247084957306	0.00157169405685348
g2	g28	0.204247084957305	0.00157169405685349
g41	g14	0.201241192294429	0.00184816979335312
g14	g41	0.201241192294429	0.00184816979335315
g24	g4	0.200950540541699	0.00187713094612189
g4	g24	0.200950540541699	0.00187713094612189
g6	g1	0.199636915431213	0.00201325991254772
g1	g6	0.199636915431212	0.00201325991254772
g14	g46	0.195947061636147	0.00244516818796309
g46	g14	0.195947061636147	0.0024451681879631
g60	g59	0.195859076845401	0.00245642539632062
g59	g60	0.1958590768454	0.00245642539632063
g49	g60	0.193840990346374	0.00272791455611525
g60	g49	0.193840990346374	0.00272791455611525
g9	g21	0.192198189921965	0.00296872298327994
g21	g9	0.192198189921964	0.00296872298327998
g4	g3	0.190527116094097	0.0032332948890403
g3	g4	0.190527116094097	0.00323329488904035
g41	g13	0.18946032949839	0.00341317308327922
g13	g41	0.18946032949839	0.00341317308327928
g50	g2	0.189404297108702	0.00342286661390104
g2	g50	0.189404297108702	0.00342286661390104
g47	g17	0.188684943722711	0.00354954480899106
g17	g47	0.188684943722711	0.0035495448089911
g22	g12	0.187509947127342	0.00376559973880706
g12	g22	0.187509947127342	0.00376559973880709
g40	g10	0.186722334451195	0.00391699905599244
g10	g40	0.186722334451195	0.00391699905599245
g47	g18	0.185754565823309	0.00411053909274523
g18	g47	0.185754565823309	0.00411053909274524
g61	g1	0.184932903606449	0.00428158249841911
g1	g61	0.184932903606449	0.00428158249841911
g13	g47	0.18485951541631	0.00429716721090409
g47	g13	0.184859515416309	0.0042971672109042
g59	g11	0.184334740288653	0.00441010598919029
g11	g59	0.184334740288653	0.00441010598919035
g30	g48	0.183526870317064	0.0045892010773819
g48	g30	0.183526870317064	0.00458920107738192
g26	g1	0.176512407093867	0.00644122595404696
g1	g26	0.176512407093867	0.00644122595404699
g60	g29	0.172369815452734	0.00782555429710123
g29	g60	0.172369815452734	0.00782555429710124
g46	g36	0.17171669312004	0.0080664576411596
g36	g46	0.17171669312004	0.00806645764115965
g62	g36	0.170472859234164	0.00854355352906723
g36	g62	0.170472859234164	0.00854355352906726
g44	g57	0.170113459197708	0.00868599819462859
g57	g44	0.170113459197708	0.00868599819462861
g6	g64	0.169181215826518	0.00906536061919058
g64	g6	0.169181215826517	0.00906536061919066
g50	g34	0.16900764793657	0.00913759252457886
g34	g50	0.16900764793657	0.00913759252457888
g43	g64	0.167982083245174	0.00957490253746664
g64	g43	0.167982083245174	0.00957490253746665
g23	g34	0.162623042578471	0.0121752326605514
g34	g23	0.162623042578471	0.0121752326605515
g7	g55	0.160787479332734	0.0131991299387342
g55	g7	0.160787479332734	0.0131991299387342
g55	g28	0.158537430319162	0.0145568472344376
g28	g55	0.158537430319162	0.0145568472344377
g39	g4	0.158464088664905	0.0146030899956117
g4	g39	0.158464088664905	0.0146030899956118
g28	g62	0.157285984427494	0.0153637300517212
g62	g28	0.157285984427494	0.0153637300517213
g50	g27	0.157193706512544	0.0154247467710226
g27	g50	0.157193706512544	0.0154247467710226
g1	g44	0.157037930201507	0.0155282313017698
g44	g1	0.157037930201507	0.0155282313017699
g46	g41	0.156535137520176	0.0158663969582969
g41	g46	0.156535137520176	0.0158663969582969
g49	g30	0.154754231816609	0.0171164902823718
g30	g49	0.154754231816609	0.0171164902823718
g13	g12	0.152784752534384	0.0185981238994366
g12	g13	0.152784752534384	0.0185981238994368
