SourceGENES,TargetGENES,Interaction,Edges
g3,g23,1,activation
g3,g54,0.927155898169497,repression
g14,g9,0.926149180774335,activation
g18,g9,0.783833407932827,repression
g2,g54,0.678572900657651,activation
g20,g9,0.672764026760575,repression
g56,g54,0.665346501965381,repression
g14,g40,0.580402567624852,activation
g20,g40,0.576568956975898,activation
g3,g24,0.571771529000504,activation
g14,g31,0.548457662353811,repression
g3,g28,0.54444936988182,repression
g56,g23,0.537463487279576,repression
g36,g9,0.518525618887856,repression
g2,g60,0.51843681577735,activation
g56,g60,0.488731212195002,repression
g14,g0,0.486703383605401,activation
g14,g49,0.482044365594333,repression
g14,g10,0.474045548694838,activation
g3,g60,0.473485182358161,activation
g18,g40,0.470047942516477,repression
g26,g57,0.470034577279175,activation
g20,g31,0.46716688004416,repression
g3,g1,0.467113484084755,repression
g14,g11,0.464481728891184,activation
g18,g31,0.459285210873647,activation
g20,g57,0.457755887524767,activation
g50,g60,0.451651288022256,activation
g2,g53,0.447197929013489,repression
g26,g61,0.444407058265359,activation
g30,g54,0.438989461685668,repression
g20,g11,0.436911310258384,activation
g56,g24,0.426718908174645,activation
g50,g58,0.426582936696489,activation
g14,g29,0.421672309325646,repression
g20,g10,0.419000902810522,activation
g18,g10,0.412614014118862,repression
g56,g58,0.411160739692466,repression
g16,g53,0.403181196034557,repression
g14,g22,0.400411237879199,activation
g5,g60,0.397618849368654,activation
g14,g25,0.397121554792934,repression
g2,g58,0.396502179647579,repression
g56,g61,0.394253397425544,repression
g2,g28,0.383555218894814,activation
g36,g49,0.379476136063012,activation
g56,g28,0.379285651183315,activation
g50,g6,0.37690830491645,activation
g14,g59,0.375310014973428,repression
g4,g60,0.375240934606993,repression
g20,g53,0.374467136845135,repression
g30,g23,0.374209375469939,repression
g2,g24,0.371855630391017,activation
g5,g58,0.365416983603719,activation
g15,g23,0.362531978730892,repression
g18,g11,0.36197365218725,activation
g50,g54,0.361934614050981,repression
g14,g51,0.361849751923457,repression
g13,g9,0.351581172147211,repression
g1,g61,0.348471128251975,activation
g56,g1,0.344253752683429,activation
g14,g18,0.343710415462227,activation
g3,g7,0.341778698648339,repression
g14,g12,0.339591324944809,repression
g20,g37,0.339248539480957,activation
g14,g8,0.339220045477489,activation
g46,g51,0.338980483630676,activation
g3,g6,0.338205715224714,activation
g16,g44,0.338165632501976,repression
g26,g58,0.337943349707948,repression
g34,g23,0.335237972907609,activation
g15,g29,0.333898549196647,activation
g36,g0,0.330266635689906,repression
g14,g44,0.326991935041124,activation
g4,g54,0.326563488620784,activation
g2,g23,0.326440485291025,activation
g1,g58,0.326419135448441,activation
g36,g51,0.321853958753652,repression
g30,g60,0.320863519230718,activation
g4,g58,0.320283445391783,repression
g56,g6,0.315891260339148,repression
g57,g61,0.314687642158568,repression
g41,g9,0.312726390780094,repression
g56,g53,0.30794936624095,activation
g36,g31,0.307743852263959,activation
g14,g17,0.307318174021634,activation
g4,g6,0.304996795996692,repression
g34,g29,0.304863702369081,activation
g56,g57,0.302647887022332,repression
g20,g59,0.302605256975167,activation
g18,g53,0.299046407924364,activation
g39,g54,0.292303577081739,activation
g14,g63,0.289665271950061,activation
g46,g25,0.287286753872187,repression
g3,g30,0.286628437927479,activation
g5,g61,0.286320977694047,activation
g30,g24,0.285800349017958,repression
g14,g20,0.283872770663557,repression
g16,g59,0.279839794244646,repression
g14,g62,0.278666258227749,repression
g30,g6,0.276112382865657,activation
g3,g34,0.275848425635891,repression
g3,g2,0.27453238479943,activation
g3,g56,0.272467715095891,activation
g2,g1,0.272205771405985,activation
g30,g28,0.272199329557286,repression
g14,g13,0.271188642373002,activation
g36,g18,0.270193972855349,activation
g26,g6,0.269000314171765,repression
g34,g44,0.266396762777935,repression
g5,g6,0.264548792557484,repression
g58,g60,0.262807724195424,activation
g14,g43,0.262663025775172,activation
g12,g53,0.261624464191782,repression
g50,g16,0.260649895398913,repression
g3,g53,0.258419170195251,activation
g3,g44,0.258330141977898,repression
g15,g48,0.258239106960852,activation
g20,g44,0.256678421610228,repression
g36,g22,0.254826820460842,activation
g3,g37,0.253231269844447,activation
g15,g52,0.252014366991869,repression
g36,g11,0.251052521320588,repression
g5,g57,0.250585106743475,activation
g41,g10,0.249640054251926,repression
g46,g12,0.247091066712657,activation
g46,g62,0.246804231129181,repression
g16,g60,0.246419728679424,repression
g50,g53,0.244264382325291,activation
g18,g59,0.243640925689122,repression
g36,g27,0.243245992434431,activation
g27,g0,0.242787147311257,repression
g1,g57,0.242075249766699,repression
g50,g24,0.241217460431539,repression
g18,g49,0.240988395298348,repression
g16,g11,0.239999144386284,repression
g41,g31,0.239820853917483,activation
