Gene1	Gene2	EdgeWeight
g54	g15	1.0
g23	g17	0.8981194200454721
g27	g47	0.88553002527637
g63	g47	0.8817661640304391
g54	g17	0.8602195827743471
g23	g53	0.8444445886711609
g32	g43	0.7913384268394791
g42	g15	0.776615000850626
g0	g29	0.7690983634821309
g54	g53	0.7409457889564108
g25	g17	0.7389412013164399
g23	g15	0.721866371211588
g42	g53	0.695127384405109
g54	g29	0.691826321663694
g42	g17	0.689674893063048
g31	g53	0.687660672804217
g63	g52	0.6690545346780171
g63	g14	0.655906484961778
g0	g15	0.653332580990453
g62	g51	0.6292342514341579
g25	g20	0.619387818174293
g10	g53	0.6065232786701961
g19	g53	0.6064011981550009
g25	g51	0.600169679714215
g63	g29	0.596429950275525
g1	g15	0.5941810555609119
g48	g15	0.592819478244928
g25	g62	0.592372808867328
g42	g26	0.590920441130616
g16	g51	0.5864678907313879
g54	g43	0.5848743401232049
g7	g44	0.5839019993842769
g25	g53	0.568702605630877
g33	g56	0.563060683720965
g40	g13	0.549490810507945
g42	g20	0.548856702625818
g25	g44	0.5423293956182009
g7	g17	0.536466711835072
g10	g51	0.535617121754105
g23	g44	0.534331367021571
g63	g41	0.527646982032296
g48	g17	0.524379995247387
g12	g14	0.5194369799028421
g42	g16	0.518580579564825
g31	g51	0.517876816461334
g55	g17	0.5162015399306871
g23	g62	0.5141573100518251
g63	g13	0.5141308686572801
g55	g53	0.513570578828788
g12	g47	0.5093866384507709
g23	g57	0.50708519790575
g62	g41	0.506352083577581
g29	g20	0.5053946359493859
g54	g57	0.501804245297036
g21	g53	0.4985980016064411
g38	g20	0.49736883986605396
g27	g14	0.496982443940761
g23	g43	0.49442429724634707
g25	g36	0.49201995979947405
g26	g51	0.48270638370602503
g38	g13	0.48203308267584294
g12	g41	0.48114019560289895
g10	g44	0.48070047542773003
g1	g57	0.4674589436247151
g19	g17	0.462844227846146
g9	g20	0.462601546865945
g1	g31	0.46236011874267696
g16	g41	0.45828801973560296
g31	g22	0.455856003132552
g64	g43	0.45509093845929494
g44	g47	0.447536760908141
g24	g26	0.44535152092341707
g27	g13	0.44138809846112104
g8	g43	0.43963730712411603
g50	g15	0.43880059632665097
g15	g53	0.43763351583745
g8	g53	0.43619498482952707
g38	g17	0.435575191565781
g8	g17	0.434422143352336
g23	g29	0.42882141302671095
g61	g53	0.42672852199623895
g22	g14	0.424781000160973
g43	g47	0.42360692945820705
g54	g31	0.422784426131838
g60	g6	0.4224828235734
g62	g14	0.421694409372776
g48	g57	0.420703457092859
g7	g20	0.4191528883502
g54	g62	0.41873179520935794
g28	g41	0.4183386376288579
g6	g56	0.41747310772437296
g64	g52	0.41596603194718196
g42	g31	0.41528037093305603
g9	g53	0.412924991793041
g16	g36	0.412279848731744
g29	g13	0.41173912271894103
g28	g20	0.41144972618976505
g48	g44	0.40858326133420403
g20	g41	0.407571949544411
g24	g6	0.40670592044349396
g50	g53	0.405311333368808
g31	g17	0.40455043819905495
g62	g22	0.40331966801314295
g20	g52	0.40157096833854794
g10	g22	0.400459296082704
g40	g17	0.39965688450200604
g42	g10	0.399480084201151
g0	g47	0.399473271737447
g10	g62	0.39776450905720795
g10	g17	0.397654856880859
g0	g17	0.39742446418468297
g44	g29	0.394763018289548
g7	g53	0.391380621102951
g27	g10	0.390254700949778
g32	g57	0.3885792328046189
g20	g14	0.387853454201908
g49	g22	0.387491131970038
g5	g15	0.386858641781493
g27	g16	0.386750554583265
g55	g15	0.38483211318681004
g12	g13	0.38284307542517404
g19	g44	0.381843024068553
g16	g14	0.379668025480664
g27	g20	0.37955993335238597
g49	g13	0.37949439808143604
g9	g13	0.379054777759865
g22	g41	0.377348553760935
g62	g52	0.37685928416539
g35	g43	0.37450592100208707
g48	g53	0.373737252362372
g13	g14	0.37333861349691794
g0	g31	0.373320188487443
g43	g15	0.372895102994775
g50	g17	0.372415899304111
g1	g53	0.371933996571281
g62	g47	0.37086099593731703
g59	g47	0.36912861258324
g13	g41	0.364921855621835
g63	g22	0.36103999385046603
g62	g29	0.360224501420442
g19	g57	0.35967304673253
g49	g43	0.358964681426212
g21	g17	0.358566663451805
g55	g20	0.35634564069668895
g1	g10	0.355165337857698
g52	g20	0.35390489589665003
g42	g44	0.35378440079876705
g44	g52	0.351676162938822
g0	g52	0.35165171114965604
g44	g14	0.35138954278226503
g50	g57	0.3497626514915661
g22	g36	0.349500015854672
g25	g41	0.34893577766585804
g54	g52	0.348781446223993
g44	g41	0.348425982914336
g7	g16	0.3481110578071961
g23	g12	0.348090186005884
g0	g25	0.34731411599432394
g31	g62	0.345386763137466
g40	g53	0.340878111812946
g20	g22	0.339751203348101
g38	g14	0.338214640336295
g54	g44	0.33771082787441603
g44	g51	0.33463666909487894
g0	g43	0.33352448353213204
g56	g57	0.33335395897370695
g38	g41	0.330739911975789
g7	g26	0.32994831249957896
g43	g14	0.328547356931268
g31	g44	0.32776358526801
g40	g14	0.326359179897982
g39	g57	0.325413278796605
g55	g44	0.32465943503266803
g26	g53	0.324173036920029
g9	g17	0.322399487251238
g60	g33	0.318741873825275
g41	g41	0.31812238901569
g43	g31	0.31669014940713397
g61	g57	0.315612999139604
g61	g17	0.313825406497123
g24	g13	0.313270885545121
g63	g25	0.31269105143378495
g10	g57	0.31259709728672197
g32	g44	0.312531569119598
g49	g52	0.31139407408722
g41	g14	0.31131365674725603
g4	g57	0.311284584471021
g7	g13	0.310823264931854
g51	g36	0.310084380065345
g5	g17	0.31005166893707803
g56	g15	0.30994206740540603
g63	g43	0.306615234553548
g14	g41	0.305637877013861
