TF	target	importance
g30	g56	148.91356836594292
g45	g39	118.16180054213017
g36	g46	116.80549056777245
g46	g36	96.36888328732186
g39	g45	92.28048258254447
g56	g2	85.94031293774121
g30	g2	85.10600424594345
g14	g36	83.07554707427252
g56	g30	81.89507439118556
g14	g46	78.3806870423061
g14	g41	76.2488324015904
g3	g45	73.22076072507828
g2	g56	71.96979913377646
g3	g39	69.57706502240947
g39	g2	67.21453932903357
g47	g18	66.90053469791422
g45	g3	66.48745416220264
g41	g14	65.01368516720596
g2	g30	64.68623485328636
g3	g56	64.26527854664765
g41	g46	58.86404908293752
g36	g14	58.23013443986173
g39	g3	54.97879043853321
g46	g14	54.695156559727984
g20	g12	53.38704635962561
g22	g12	53.2357812599716
g12	g20	52.645004894945124
g4	g5	51.104641885262126
g5	g4	50.823491526752925
g22	g20	50.09425575579265
g41	g36	47.79853883855511
g46	g41	47.79031981832404
g20	g22	46.26765181760831
g47	g13	46.109329899740125
g13	g47	45.91335031977513
g2	g1	45.849479228618776
g18	g47	45.14724368137803
g17	g47	43.128466766225806
g30	g1	43.081022219930205
g13	g41	43.013618873867614
g47	g17	42.592286843269356
g2	g45	42.468650248149586
g45	g56	41.9812001226771
g56	g39	41.747716514016126
g12	g22	40.557988566695734
g20	g17	40.11249646184091
g41	g13	39.959936497108146
g17	g59	39.07291216725154
g45	g2	39.01904153337197
g22	g17	38.73618712957903
g1	g30	38.54890267572175
g17	g20	38.48535017494896
g39	g30	38.27013667837557
g18	g13	37.678317408378874
g30	g45	37.21865186857785
g39	g56	36.81813283591168
g18	g14	36.5998608089854
g3	g30	36.1888104666118
g3	g4	35.745080420420706
g1	g2	35.45143224570071
g3	g2	35.43889615076946
g14	g18	34.93820262851841
g4	g39	34.32422571178607
g22	g13	34.0038862820106
g45	g30	33.63800322411407
g17	g12	33.48070040539264
g18	g41	33.02585330374609
g22	g59	32.93696666745395
g22	g18	32.89277941067963
g20	g47	32.728038210627915
g36	g41	31.962797598251477
g30	g39	31.80380133723716
g22	g47	31.457714662006477
g2	g39	31.200271801104712
g2	g3	30.486906659388563
g14	g13	30.39119039357901
g61	g6	30.220912155183942
g47	g12	30.183285878826197
g4	g45	29.902720285837145
g45	g4	29.628562958247745
g2	g4	29.34979519354679
g18	g20	29.301022477280316
g13	g18	29.160404096435002
g6	g1	29.136880713284253
g41	g47	28.732124237824266
g53	g57	28.519034342612017
g12	g17	28.39007615035088
g14	g47	28.15689189198964
g4	g3	28.105242419565254
g1	g6	27.46845552300468
g12	g13	27.296066460588474
g30	g3	26.95858072887305
g13	g17	26.353265970605257
g47	g14	26.08699604013367
