TF	target	importance
g39	g45	111.74628826174246
g56	g2	84.91929384600984
g45	g3	84.44971750259755
g45	g39	81.42096875626433
g39	g3	78.6921483968632
g46	g36	77.4889855633277
g30	g2	77.38215731749904
g36	g46	74.9612840908784
g41	g14	70.82302738463045
g3	g39	69.03019115346162
g13	g47	66.70289835568282
g22	g12	65.2564297087042
g14	g41	61.905345975596106
g14	g46	61.90495509150783
g30	g56	61.49528645972825
g18	g47	61.15178341163032
g14	g36	60.643582256923324
g3	g4	59.27529083976889
g47	g18	58.2259408684092
g2	g56	57.57427604007185
g47	g13	56.949550657369905
g2	g30	56.788129690511326
g18	g13	56.13326030276919
g4	g3	55.532908745311474
g12	g20	54.01824681367886
g3	g45	53.67067059962226
g36	g18	52.81401151903241
g14	g18	52.56019103206431
g41	g36	52.458555535629536
g14	g13	51.9777058526096
g46	g14	49.72022722576428
g17	g12	49.632613953342535
g56	g30	49.386231373749894
g20	g12	49.042521180544675
g36	g41	48.74845645275349
g36	g14	48.57570871026935
g39	g4	48.19091143621061
g45	g4	47.36716646877435
g4	g5	47.11258801625578
g20	g17	46.694328013498236
g41	g13	46.02457045345483
g46	g41	45.07086531520633
g12	g17	44.84904287135834
g13	g18	44.17022132490531
g13	g41	44.123533812670985
g4	g45	43.34916612655913
g18	g14	43.30412513213763
g39	g2	42.150050678984584
g18	g17	41.908999126866306
g4	g39	41.373429319186016
g41	g18	40.730272854539976
g5	g4	39.96901061484383
g50	g6	39.426557807891975
g1	g2	39.14824585098641
g50	g61	38.93248723477675
g30	g45	38.8951967051785
g12	g47	37.720899682881516
g13	g46	37.48854272464852
g17	g22	36.49460753794655
g56	g3	36.22657466677399
g22	g17	35.188023724605124
g39	g56	34.79322560157204
g18	g41	33.70558292492995
g3	g2	32.721030393159275
g18	g36	32.5052599728912
g17	g20	32.41957756346599
g22	g20	31.865669761043364
g45	g56	31.79616394915699
g41	g46	31.68923082416307
g30	g3	31.261531800904905
g30	g1	30.606430625998083
g2	g1	30.565306450051352
g11	g31	30.50020174936201
g39	g5	30.47852975613462
g47	g14	30.22347168460501
g13	g14	30.094679923731483
g55	g9	29.8652822740363
g41	g47	29.544221657604837
g39	g30	29.463856652145395
g12	g13	29.20120670859036
g56	g45	28.9828964324125
g2	g3	28.966215203638434
g13	g36	28.94979488300794
g6	g50	28.904762360027807
g36	g13	28.823103041592397
g20	g22	28.59850712749711
g3	g30	28.396773972721657
g11	g44	27.76696348633704
g13	g22	27.654839663900194
g12	g22	27.54377550834514
g2	g45	27.404854220848957
g14	g12	27.12612846390907
g47	g41	26.922159030361733
g17	g18	25.957108996570447
g9	g55	25.841706073466217
g1	g50	25.434412303349347
g31	g11	25.240461803327463
g17	g59	25.190864678849902
g30	g39	25.187606684638155
g15	g55	25.15624658003083
g47	g36	24.707144938243538
g18	g20	24.632925379629384
g54	g5	24.546153955050546
g45	g30	24.49898629388545
g17	g13	24.27915688690323
g30	g50	24.074124485055712
g22	g31	24.024619874158493
g50	g1	23.98308427754231
g1	g56	23.95477927763188
g56	g1	23.938223516014776
g3	g5	23.932358451108065
g3	g56	23.899340806134457
g56	g39	23.856456310134526
g2	g6	22.702170248874783
g31	g10	22.643903081090144
g20	g41	22.542123542704513
