TF	target	importance
g46	g36	0.22793986608739614
g36	g46	0.22271855847199856
g45	g39	0.20652674709809052
g45	g3	0.19587466289013772
g39	g45	0.19521413781954372
g41	g14	0.1841957457139548
g30	g56	0.18150744470195768
g56	g30	0.17939348297303886
g3	g45	0.16885981591694207
g14	g41	0.1679498874985623
g18	g13	0.16527781775432215
g12	g22	0.1642222828159838
g2	g30	0.16066809076478575
g3	g39	0.1584414316998089
g2	g56	0.15590996612278477
g22	g12	0.15588854169819816
g39	g3	0.1527959711605108
g22	g17	0.15238853727565166
g30	g2	0.1521097309201781
g2	g1	0.14911289366401173
g22	g20	0.14884646493661619
g13	g18	0.14769106061173984
g18	g47	0.14627665001216328
g41	g13	0.14496033583286255
g56	g2	0.14047985256671416
g45	g4	0.1395023451121588
g3	g4	0.13674731563022766
g14	g36	0.13568803788406805
g17	g22	0.13252603668430346
g13	g47	0.13102409445980823
g36	g41	0.13070588619484028
g14	g46	0.12758659020364008
g41	g46	0.12757300176723732
g41	g18	0.12702169104015149
g20	g22	0.12699585355923249
g1	g50	0.12527566780436533
g12	g17	0.12402726111007417
g12	g20	0.12305926110177005
g46	g14	0.12184290470760156
g20	g12	0.12126958945518447
g47	g18	0.12124525368791336
g36	g14	0.12080285901481672
g41	g47	0.12038652183322307
g39	g4	0.11939556619937071
g17	g20	0.11630353633659081
g3	g2	0.11549512420617453
g13	g41	0.11527122309777905
g17	g12	0.11071097609685153
g4	g3	0.10864125494685357
g3	g30	0.10862608346767723
g41	g36	0.10778902241883365
g20	g17	0.10682687386672308
g14	g18	0.10656455851957758
g47	g13	0.10648565509468867
g61	g6	0.10639950300476304
g14	g13	0.10550148627403053
g14	g47	0.10436778722385165
g50	g6	0.10357661177781921
g50	g1	0.10350676857409956
g46	g41	0.10276456966119475
g18	g41	0.10221095517211577
g13	g14	0.10078298206912523
g6	g61	0.09915470267510618
g56	g1	0.09689399012853186
g30	g1	0.0958100358188273
g6	g50	0.09515514142057112
g61	g15	0.09506265855906525
g2	g3	0.09399426757786337
g45	g30	0.09332011979168416
g3	g56	0.0930753664558268
g4	g39	0.09244401889431889
g1	g2	0.09216840254751156
g4	g45	0.09131069564573485
g1	g6	0.09062862881964723
g47	g14	0.08955876302802379
g47	g41	0.08912431061128298
g18	g14	0.08873901923615496
g39	g56	0.08867573129212293
g2	g50	0.08796080421884281
g30	g39	0.08736242137651372
g11	g31	0.08605048696017484
g39	g2	0.0858788544129461
g4	g5	0.08463336206469799
g45	g56	0.08422700805387343
g1	g26	0.08396628973140695
g56	g45	0.08384005346051537
g31	g11	0.08371736271169619
g2	g6	0.08314866438661297
g50	g61	0.08234391477771939
g61	g26	0.08146877299551754
g30	g45	0.08104450769888422
g11	g10	0.08097652204156956
g47	g12	0.08050769550354576
g56	g39	0.07828906534308451
g61	g50	0.07726708903752998
g47	g17	0.07709517458351677
g54	g5	0.07585425310284896
g12	g59	0.07580157576392306
g56	g3	0.07561255283546257
g39	g30	0.07537207440892708
g15	g55	0.07475992915625508
g31	g40	0.07475134066498539
g2	g39	0.07435572487360612
g55	g9	0.07271941067394652
g45	g2	0.07266592890125508
g18	g46	0.07209418920354507
g2	g45	0.07191611840650904
g1	g61	0.07189865835581542
g11	g57	0.07185996352164009
g15	g26	0.07031202993535875
g15	g8	0.07011770644208688
g47	g22	0.06969334958151148
g18	g29	0.0695676679931521
g61	g8	0.06908640974268972
g50	g7	0.06796315857537412
g1	g30	0.06785993436295176
g13	g46	0.06779610680746216
g47	g36	0.06747851646331143
