SourceGENES,TargetGENES,Interaction,Edges
g4,g54,1.40221658770927,repression
g41,g59,1,activation
g41,g37,0.984128299786839,repression
g4,g23,0.950310025938978,repression
g32,g37,0.870866192175055,activation
g45,g64,0.726626644837808,repression
g3,g62,0.722907305646504,repression
g31,g55,0.707958352417596,repression
g41,g10,0.701200685395162,activation
g31,g10,0.689864608346427,activation
g39,g64,0.676721933495032,repression
g36,g37,0.671029126574486,activation
g41,g0,0.667871942419538,activation
g44,g63,0.667738363473461,repression
g32,g25,0.666013735854354,repression
g16,g54,0.664815763425814,activation
g22,g42,0.64769687118695,activation
g22,g9,0.64334754340209,activation
g20,g5,0.63876904924281,activation
g45,g58,0.634634455178315,repression
g22,g37,0.625552412780427,repression
g36,g25,0.623823111950304,activation
g4,g58,0.619793494663068,repression
g4,g16,0.618296220873757,activation
g60,g51,0.607314661433553,repression
g0,g63,0.605911021261352,activation
g31,g5,0.600276213745545,activation
g32,g16,0.599699437353249,activation
g3,g58,0.588135382486276,activation
g3,g64,0.586919171278102,repression
g41,g27,0.584204084190011,repression
g37,g63,0.582587429855487,activation
g17,g35,0.581009518396765,activation
g22,g0,0.566881760007966,activation
g39,g58,0.565477343738549,activation
g22,g25,0.555757263515854,repression
g31,g37,0.554807853152824,activation
g32,g13,0.547463064085243,repression
g45,g34,0.546198693117794,repression
g3,g38,0.545520553427065,activation
g4,g21,0.542613511189378,repression
g41,g16,0.542014555090085,repression
g20,g25,0.535515661781909,activation
g22,g21,0.520244060980584,activation
g4,g1,0.511842169082553,activation
g51,g37,0.504261210873085,repression
g31,g48,0.502716654972526,activation
g36,g13,0.501647996168831,repression
g36,g52,0.501591834071531,repression
g37,g21,0.499070500179363,repression
g22,g59,0.496337733373053,activation
g20,g51,0.495065459831892,activation
g31,g40,0.486775811065726,activation
g27,g51,0.48519040440581,activation
g41,g40,0.484718236959016,activation
g4,g34,0.484236659855921,repression
g41,g31,0.481660300474696,repression
g37,g44,0.476876322473482,repression
g37,g16,0.475387440793315,repression
g17,g59,0.475131042580775,activation
g18,g59,0.474465197609388,activation
g31,g15,0.473663821907684,repression
g22,g35,0.473309200576855,activation
g60,g52,0.467411064644838,activation
g31,g43,0.467229720218024,repression
g31,g63,0.466345171670808,repression
g39,g54,0.460582540239835,activation
g36,g29,0.459374251142701,repression
g39,g62,0.458055210303693,activation
g22,g29,0.457076818048472,repression
g32,g18,0.456288310308902,activation
g41,g42,0.456229716099168,activation
g31,g9,0.447751091412585,activation
g31,g8,0.445221389540552,activation
g60,g17,0.438862957696814,repression
g45,g3,0.437838937756909,activation
g37,g42,0.43653192288775,activation
g44,g21,0.43436336804399,repression
g51,g25,0.429136428630495,repression
g20,g52,0.428217644801479,repression
g20,g9,0.425105763018878,activation
g31,g44,0.425027711766604,repression
g10,g59,0.424753370062431,activation
g45,g23,0.423438106022104,activation
g26,g63,0.422561745051757,repression
g22,g13,0.422274265226858,activation
g45,g39,0.420409426273616,activation
g31,g0,0.419635746569417,activation
g17,g9,0.418827500154276,repression
g45,g1,0.415714701000768,activation
g10,g21,0.412132884299832,repression
g36,g14,0.41129349802025,activation
g31,g17,0.410510122635605,repression
g45,g54,0.407756937576746,activation
g39,g34,0.40755654412101,repression
g22,g48,0.404380762654792,activation
g24,g21,0.404330936335201,activation
g41,g25,0.402137654873792,repression
g60,g62,0.401354970285697,repression
g31,g57,0.401335927740832,repression
g46,g37,0.400563003797483,repression
g10,g63,0.399749339059016,repression
g32,g52,0.39819808557405,repression
g51,g16,0.397770712393513,activation
g44,g8,0.397580036015504,repression
g31,g51,0.397397878556521,activation
g32,g23,0.395269930423114,activation
g37,g37,0.394149977239153,activation
g22,g16,0.392749158718625,repression
g31,g61,0.392560565748904,repression
g4,g6,0.390948992615504,repression
g39,g39,0.388423841035155,activation
g36,g18,0.387010285708168,activation
g45,g62,0.3862157089431,repression
g32,g47,0.386023047513512,activation
g31,g42,0.385989442311165,activation
g31,g25,0.385922889485508,repression
g64,g58,0.385741879401023,activation
g41,g13,0.383611590587459,activation
g20,g10,0.382284407527079,activation
g27,g38,0.381963268088874,repression
g4,g2,0.381203659505325,activation
g44,g26,0.380359713489759,activation
g0,g48,0.380164739807559,activation
g3,g53,0.378582144659007,activation
g32,g10,0.377956125613722,repression
g37,g40,0.376924518755138,activation
g31,g12,0.376832280624342,activation
g26,g23,0.376396343226944,repression
g0,g5,0.374897641190746,repression
g18,g27,0.374527490025164,activation
g0,g55,0.374446463717859,activation
g44,g54,0.37373279374902,activation
g10,g9,0.371666758728475,activation
g22,g10,0.370188984718536,repression
g41,g29,0.369989677814356,repression
g45,g45,0.369171043491259,activation
g39,g45,0.365402220389274,activation
g31,g26,0.365343174641167,repression
g20,g37,0.359922721513488,activation
g36,g59,0.3591749643044,activation
g17,g25,0.358387337128418,repression
