SourceGENES,TargetGENES,Interaction,Edges
g11,g25,1,activation
g40,g25,0.879635381081704,repression
g47,g29,0.877193924672133,repression
g12,g29,0.860112703853346,activation
g5,g0,0.824483579540692,repression
g18,g29,0.75645565985909,activation
g15,g60,0.727836828049433,activation
g40,g60,0.726363046601599,repression
g57,g60,0.721993375157746,repression
g13,g29,0.673981135726561,repression
g53,g60,0.662026555541479,repression
g41,g29,0.65749122358187,repression
g45,g24,0.625224010508597,repression
g15,g25,0.613713128833679,activation
g5,g42,0.611196675000378,repression
g30,g0,0.604692585678873,repression
g52,g60,0.601746930543647,repression
g20,g29,0.593758303664234,repression
g13,g31,0.556570972409194,activation
g30,g42,0.549468920366464,activation
g46,g29,0.538440288396172,activation
g12,g25,0.526460937474938,activation
g2,g42,0.51720184649634,repression
g11,g60,0.517157617204098,activation
g13,g54,0.506629318470659,repression
g13,g57,0.505906554143896,activation
g13,g62,0.505580087530831,repression
g12,g52,0.493981627419199,repression
g4,g24,0.484763776156548,activation
g52,g25,0.4723530644923,activation
g30,g10,0.466300929348488,repression
g47,g52,0.466000600307671,activation
g14,g29,0.463496934078717,repression
g11,g44,0.462294038202252,repression
g5,g60,0.45943037418333,activation
g54,g60,0.456167726553965,repression
g56,g42,0.456016127583435,repression
g38,g29,0.452014768014383,activation
g26,g42,0.450617366699557,activation
g12,g54,0.447759735172739,repression
g14,g60,0.44763924229465,activation
g18,g52,0.437866487219859,activation
g2,g0,0.437154543290109,repression
g55,g19,0.436431739880161,activation
g11,g52,0.433227789791077,activation
g39,g24,0.430033831081345,activation
g53,g42,0.429532245471013,activation
g56,g0,0.427851675116149,repression
g17,g25,0.423157790758021,repression
g34,g60,0.41957651942777,activation
g47,g48,0.414862056032309,repression
g26,g60,0.40781504805521,activation
g41,g27,0.406227587786285,repression
g45,g49,0.402992142253865,repression
g15,g42,0.402763396451996,activation
g45,g42,0.401389222115212,activation
g14,g25,0.398919107517737,repression
g14,g31,0.395850959434865,repression
g44,g60,0.395041331711558,activation
g47,g57,0.392318898186524,activation
g61,g10,0.390146110197808,repression
g5,g51,0.388984015579444,activation
g30,g32,0.386222245237022,repression
g61,g24,0.386101108835229,activation
g2,g24,0.384303562356108,activation
g18,g54,0.381498320206002,repression
g45,g23,0.381201060805815,repression
g46,g54,0.378293049737419,activation
g14,g52,0.376946898795493,repression
g55,g42,0.376120736978641,activation
g14,g59,0.375560518464467,activation
g55,g49,0.375453691335918,repression
g30,g49,0.374075645346391,activation
g4,g1,0.366224798099058,activation
g20,g52,0.364227127640067,activation
g55,g7,0.362074367252686,activation
g45,g10,0.361789044264836,repression
g14,g62,0.360113268785191,repression
g4,g50,0.359383940273761,repression
g11,g7,0.358996276129131,repression
g47,g62,0.358778145213821,activation
g13,g59,0.357006774499057,repression
g30,g24,0.356577290042262,activation
g38,g54,0.356127503416405,activation
g47,g0,0.355031128902687,activation
g39,g16,0.354466229080807,activation
g11,g21,0.353625232762133,activation
g47,g59,0.351681038907059,activation
g17,g29,0.35092873878222,activation
g4,g42,0.349693266115338,repression
g4,g23,0.349400883864514,activation
g18,g31,0.348377512324763,repression
g18,g11,0.348165209580146,activation
g11,g9,0.346542166913816,activation
g61,g23,0.345304813234207,repression
g3,g24,0.342838109015829,repression
g47,g54,0.342816669273715,activation
g53,g48,0.339858926396073,activation
g11,g55,0.337934068605727,activation
g30,g1,0.337216502429768,repression
g7,g42,0.336090265672531,repression
g56,g24,0.335473213419814,activation
g45,g50,0.334618580737711,repression
g38,g16,0.334324759092227,activation
g45,g1,0.333317574011613,repression
g46,g16,0.332855656249159,activation
g14,g48,0.332854358748874,repression
g13,g52,0.332496463627739,repression
g14,g17,0.328150173646867,activation
g45,g32,0.328014819918497,repression
g12,g59,0.32479594727225,activation
g13,g11,0.324759774307198,activation
g46,g62,0.323516467800806,repression
g40,g7,0.322413971414769,activation
g41,g62,0.321900444314486,repression
g47,g11,0.321673562281086,repression
g15,g49,0.321413909950536,repression
g12,g62,0.318737458548416,repression
g15,g19,0.317493751339881,repression
g39,g23,0.317487408111679,repression
g55,g16,0.316998428534326,activation
g15,g43,0.316299057463703,repression
g18,g33,0.314111122678185,repression
g53,g19,0.312760062237342,activation
g44,g25,0.311365654472482,activation
g12,g11,0.310794208777657,activation
g45,g19,0.310776689101101,repression
g14,g27,0.310749726429829,activation
g2,g50,0.3105817550578,activation
g38,g62,0.310438509956661,repression
g46,g27,0.310013647121342,repression
g18,g62,0.309349567486712,repression
g30,g50,0.308737347382063,activation
g61,g42,0.307355049559166,repression
g61,g50,0.306879684619502,activation
g47,g31,0.303838776227418,activation
g15,g50,0.303375502087501,repression
g26,g0,0.302958112851239,activation
g39,g42,0.30285419885277,repression
g53,g35,0.302731675862988,activation
g14,g40,0.302582444936477,activation
g11,g15,0.301697740491958,repression
g53,g50,0.301611682347766,activation
g57,g0,0.30137748671065,activation
g5,g48,0.300861475931375,activation
g44,g50,0.300635095287135,repression
g5,g6,0.300587928712105,repression
g40,g8,0.300440004956349,repression
g12,g48,0.296287643350031,activation
g61,g5,0.296134018516962,activation
g15,g61,0.293303763237574,activation
g45,g16,0.292261223801272,repression
g61,g32,0.291811961708788,activation
g4,g5,0.291180163940653,activation
g39,g10,0.289803107225083,activation
g46,g59,0.289601177714156,repression
g38,g27,0.289103656408205,activation
g30,g19,0.288078456283294,activation
g55,g23,0.287867637766385,activation
g55,g62,0.287841806682898,repression
g5,g10,0.287646966077546,activation
g55,g50,0.287201366964747,repression
g11,g54,0.287189958355969,repression
g56,g50,0.28683390860702,activation
g12,g44,0.284654274430575,repression
g55,g35,0.284457265156113,activation
g61,g1,0.284212546276327,activation
g26,g50,0.282810448682726,activation
g15,g35,0.282369063520477,activation
g47,g40,0.281674353406467,repression
g17,g62,0.281648331528534,activation
g26,g24,0.280894734261057,repression
g53,g58,0.280766609625908,repression
g2,g6,0.279983713658444,activation
g38,g59,0.278117002184555,activation
g26,g49,0.277333268587734,repression
g17,g48,0.276861131995194,activation
g30,g6,0.275492666043481,repression
g55,g5,0.274275493759418,activation
g39,g49,0.27381310135463,activation
g44,g7,0.27380312447016,activation
g18,g59,0.273620667897659,activation
g20,g54,0.273357581076651,activation
g2,g49,0.273081217575781,activation
g53,g49,0.273016282849325,repression
g41,g59,0.272179441867363,activation
g61,g49,0.271617997705219,repression
g4,g19,0.271592839746732,repression
g13,g40,0.27150603919023,activation
g55,g24,0.271407367359902,activation
g7,g49,0.271315537884945,activation
g54,g25,0.27053002172453,activation
g56,g10,0.270336128393245,repression
g13,g48,0.270000625904439,repression
g20,g48,0.269796501440409,repression
g4,g32,0.269577477680636,activation
g18,g40,0.268226169860871,activation
g44,g35,0.267701103467079,activation
g17,g52,0.266842325277021,repression
g40,g43,0.266734433042141,repression
g30,g23,0.266582145984181,activation
g4,g49,0.266147732634552,repression
g52,g7,0.265749580896198,repression
g14,g11,0.264467350083856,repression
g44,g24,0.264400072053493,repression
g5,g49,0.264027624540778,activation
g44,g19,0.263980729179797,activation
g53,g43,0.262749636038138,repression
g46,g20,0.262106344027302,activation
g2,g19,0.261967503880946,repression
g12,g40,0.261832682687698,repression
g56,g49,0.26173713226294,repression
g13,g16,0.259038000285405,repression
g55,g37,0.258891627950591,repression
g39,g32,0.258525879221642,activation
g20,g25,0.258207019901667,repression
g55,g63,0.257998600927736,repression
g47,g44,0.257931800900183,activation
g40,g61,0.257709520694301,activation
g52,g26,0.257551467558267,activation
g45,g6,0.256989250579526,activation
g53,g61,0.25659013360032,repression
g39,g1,0.256200822968734,activation
g5,g29,0.255925199382888,repression
g15,g8,0.255760706962424,repression
g14,g57,0.254831142103262,repression
g38,g20,0.254755635060365,repression
g20,g57,0.254658059712366,repression
g26,g19,0.253722443418401,repression
g7,g19,0.25284545240308,activation
g11,g53,0.252474942266123,repression
g56,g1,0.252222202760759,activation
g12,g53,0.251455893915154,repression
g17,g59,0.250411847963388,activation
g53,g25,0.250385117563314,repression
g15,g7,0.249925570851416,repression
g54,g29,0.24980334490714,activation
g61,g0,0.24946990775988,repression
g61,g19,0.249286786138276,activation
g11,g40,0.24913068564693,activation
g14,g8,0.249068946204834,activation
g15,g48,0.248762666827495,repression
g20,g62,0.248666816829466,repression
g47,g25,0.247945694108704,repression
g2,g1,0.247650432473411,activation
g47,g53,0.247311757510991,activation
g41,g16,0.247217840979665,repression
g56,g6,0.246239901203466,activation
g41,g20,0.246064287298386,activation
g56,g32,0.245007149916487,repression
g5,g58,0.243942310447423,repression
g7,g51,0.243438316027325,activation
g53,g0,0.243318416363874,activation
g2,g23,0.242771979078584,repression
g56,g19,0.242171635594386,repression
g40,g44,0.241868421064284,repression
g20,g59,0.241357713977642,activation
g54,g48,0.241143959238449,activation
g44,g42,0.240811802982672,repression
g13,g27,0.240013162990778,activation
g7,g10,0.239566759454876,repression
g13,g20,0.238779393753112,activation
g56,g23,0.237338657709159,activation
g57,g33,0.237140202699948,repression
g14,g22,0.236900604173904,repression
g5,g32,0.235160354262541,repression
g3,g1,0.235090531451472,activation
g20,g11,0.234997470149774,activation
g14,g44,0.234852844508497,repression
g13,g18,0.234766373009378,activation
g44,g43,0.234608947513633,repression
g13,g37,0.234580740476502,repression
g26,g35,0.234218425252308,repression
g44,g58,0.23256682365932,activation
g2,g10,0.232527517280142,activation
g55,g59,0.23203345871471,repression
g18,g48,0.231694226076762,activation
g55,g26,0.231360088630083,repression
g41,g54,0.231168173482805,activation
g46,g31,0.23060853588659,repression
g12,g0,0.230030182322383,repression
g52,g50,0.229414509224121,repression
g18,g25,0.229160409512226,repression
g5,g50,0.229143743432504,activation
g61,g26,0.228876889827864,activation
g52,g58,0.228490615218903,repression
g47,g17,0.227770558297705,activation
g12,g17,0.227565957596719,activation
g26,g6,0.22733086038375,activation
g50,g0,0.226717274698146,activation
g2,g32,0.226547945199511,activation
g12,g10,0.226216038529186,repression
g14,g20,0.225831796037054,repression
g50,g42,0.22513737352977,activation
g44,g26,0.225020954755359,activation
g52,g44,0.224937320934031,activation
g41,g37,0.223979239042861,repression
g40,g63,0.22327754360179,activation
g17,g53,0.221760936423291,activation
g35,g42,0.221407122385933,repression
g16,g29,0.220978747637756,repression
g47,g10,0.220396241725519,activation
g18,g57,0.219028502174415,repression
g5,g1,0.218799894987952,repression
g47,g27,0.218531653090115,repression
g20,g40,0.218020364023752,activation
g11,g26,0.217949981393556,activation
g35,g0,0.217788306452781,repression
g52,g61,0.217558518214398,repression
g13,g33,0.217446346379413,activation
g20,g31,0.217193531358552,repression
g12,g57,0.216780195577265,activation
g52,g35,0.216249913188568,repression
g52,g53,0.215840167589046,activation
g52,g15,0.215472017851256,activation
g12,g20,0.215301044394495,activation
g3,g23,0.215152323640706,activation
g4,g26,0.214716363918887,repression
g20,g44,0.214344819984563,repression
g45,g5,0.214330602915976,activation
g52,g43,0.214197749252069,repression
g4,g6,0.213952188952017,repression
g20,g0,0.213918484921689,repression
g55,g43,0.213739470291733,repression
g14,g15,0.213364731712313,repression
g47,g20,0.213110482390168,activation
g55,g22,0.211703973550961,repression
g41,g33,0.211305296658205,repression
g61,g6,0.210780972104416,activation
g44,g49,0.210759092250202,repression
g26,g43,0.210582402941198,repression
g2,g58,0.209315739348178,activation
g46,g33,0.20903541118774,repression
g61,g16,0.208883407708028,activation
g55,g53,0.208876122129423,repression
g40,g55,0.208482840936708,activation
g15,g24,0.20759530687541,activation
g3,g42,0.206281892939722,activation
g39,g19,0.205658899056323,repression
g59,g25,0.205399799049622,repression
g40,g48,0.203808408340817,repression
g41,g48,0.203709051984315,activation
g41,g18,0.203620012283158,repression
g13,g14,0.202898531749359,activation
g5,g24,0.202407355600454,repression
g57,g4,0.202042823478713,repression
g40,g19,0.201751011479157,repression
g38,g31,0.201328076571302,repression
g46,g18,0.201035537374151,activation
g26,g48,0.200401764764877,repression
g55,g32,0.200306313388976,repression
g14,g63,0.199729814106378,repression
g4,g0,0.198616197256318,activation
g17,g54,0.198435648753507,activation
g53,g26,0.198235919772331,activation
g44,g61,0.198044208038872,activation
g18,g44,0.198004894258764,activation
g52,g19,0.197239601961639,repression
g38,g18,0.196634204404778,repression
g2,g35,0.19652615974036,repression
g59,g29,0.196515883326784,repression
g14,g54,0.195685444663925,repression
g4,g10,0.195142093013553,activation
g46,g14,0.194441787852022,activation
g14,g53,0.194375155240675,repression
g16,g48,0.193748900232933,activation
g55,g20,0.193703777446514,activation
g28,g54,0.193539088532967,repression
g34,g58,0.193139840840997,repression
g53,g6,0.191719682171608,activation
g5,g35,0.191505001755167,repression
g40,g52,0.191131892396856,activation
g41,g11,0.190820165701549,repression
g57,g25,0.190706922680969,repression
g20,g53,0.19040992049389,activation
g55,g25,0.190191015676854,activation
g7,g35,0.189971564834178,repression
g26,g61,0.189213265081208,activation
g25,g57,0.189147738309413,repression
g7,g27,0.188841323101268,repression
g26,g1,0.188671896664687,activation
g2,g57,0.188565491034395,activation
g30,g5,0.188155561985873,activation
g46,g11,0.187371608969156,activation
g15,g63,0.187204528365816,repression
g46,g17,0.18719431518142,activation
g52,g48,0.186883784115763,activation
g15,g32,0.186863328303568,activation
g38,g37,0.185715398548122,activation
g54,g27,0.184899507056495,activation
g40,g53,0.184821300868297,repression
g12,g31,0.184777124253884,activation
g15,g6,0.184639160754783,repression
g57,g8,0.184419166033152,repression
g35,g24,0.183856275245506,activation
g56,g5,0.183844206021893,repression
g40,g49,0.183796933945528,repression
g39,g50,0.183192885456673,repression
g12,g14,0.182999641063326,activation
g3,g50,0.182781749378951,repression
g4,g16,0.181883936005777,activation
g54,g8,0.18138432748925,repression
g17,g44,0.180675222379281,activation
g38,g17,0.179929020792998,activation
g40,g42,0.179236116984075,activation
g18,g17,0.178820225097304,activation
g38,g14,0.178748218273464,activation
g46,g22,0.178344927542842,repression
g26,g32,0.178283374667135,activation
g41,g51,0.178246704893576,repression
g27,g54,0.17686330887673,activation
g53,g8,0.176834435796686,repression
g40,g35,0.17653866015275,activation
g7,g32,0.176501781157408,repression
g40,g33,0.175245794244533,repression
g2,g5,0.175074469303661,activation
g46,g47,0.175006231223835,repression
g18,g8,0.174981285071251,activation
g41,g22,0.174633785274087,activation
g38,g47,0.174461512567192,repression
g15,g4,0.174134552118083,repression
g25,g19,0.172877705000138,repression
g38,g22,0.171945621845836,repression
g55,g41,0.171905652054703,activation
g57,g48,0.171669668842796,repression
g14,g12,0.171197358331368,activation
g55,g47,0.168805862978573,activation
g46,g37,0.168682143585834,activation
g25,g42,0.168429781307133,activation
g14,g33,0.168429287718999,activation
g13,g17,0.168375196861471,activation
g28,g25,0.167907652551103,repression
g17,g57,0.16722799225929,activation
g41,g57,0.166908453679563,repression
g17,g8,0.166885784357365,repression
g54,g52,0.16677655386954,repression
g17,g19,0.166761201357085,repression
g18,g15,0.166178483364752,activation
g14,g9,0.16577532784928,repression
g5,g19,0.165478291550257,activation
g20,g17,0.165092241116099,activation
g13,g22,0.165066479241124,activation
g44,g5,0.165036239010669,activation
g12,g15,0.165032662471024,activation
