TF	target	importance
g45	g39	0.21523188569015364
g39	g45	0.2131775846134234
g46	g36	0.20744824377876028
g36	g46	0.20327692061263888
g45	g3	0.19465352436536437
g30	g56	0.19237948839286828
g56	g30	0.17538267357705337
g50	g6	0.1749294075949752
g2	g30	0.1730300528416846
g56	g2	0.17235010734877917
g6	g50	0.16925109920355336
g3	g45	0.16764550962440827
g41	g14	0.16709380791860334
g47	g18	0.16579540927859254
g3	g39	0.15667902447848536
g39	g3	0.15618852113864556
g17	g22	0.15468649297842582
g22	g12	0.15324788463425912
g18	g47	0.15311137476452683
g2	g56	0.15209456797043364
g14	g41	0.15103913217045772
g22	g17	0.14646055745651038
g30	g2	0.14564736216249954
g14	g36	0.14359093922224977
g2	g1	0.1425899871969888
g13	g47	0.1423180012760217
g12	g20	0.13942086799488285
g5	g54	0.13709406691905415
g4	g3	0.1370774333080887
g3	g4	0.1369692916698577
g17	g20	0.13671129091514816
g13	g18	0.1349035765528433
g18	g13	0.13445761951151236
g14	g46	0.1334418090557023
g1	g50	0.13210310281840187
g20	g12	0.1291253679236785
g12	g17	0.12869361543496796
g1	g6	0.12567340640852465
g14	g13	0.1254538026732098
g41	g36	0.12517720963303802
g4	g5	0.12494522790074328
g41	g13	0.12491113943348896
g6	g1	0.12486661008272903
g45	g4	0.12473934303017714
g20	g22	0.12354551319750667
g31	g40	0.12353007892255911
g13	g41	0.12321959868407996
g20	g17	0.12210289738004171
g22	g20	0.120901116484121
g12	g22	0.12050701365649566
g4	g39	0.11932283383746116
g17	g12	0.11601533851501451
g1	g2	0.11532593966491853
g50	g1	0.11501538603840127
g41	g46	0.11488583082919479
g47	g13	0.11327430027191154
g41	g47	0.11176842200681106
g39	g4	0.1079700589491973
g13	g14	0.10739274861476931
g41	g18	0.10568233079671882
g36	g14	0.10546154232809135
g4	g45	0.10377445717268764
g47	g41	0.10230897712614066
g47	g14	0.10150950541239462
g40	g31	0.09948892835294804
g5	g4	0.09856197674356457
g31	g59	0.09729600551075566
g18	g14	0.09672287738577862
g22	g11	0.09636749465658923
g36	g41	0.09627768430808721
g11	g59	0.0961504738450918
g46	g41	0.09575475648177148
g30	g1	0.0955999833405216
g14	g18	0.09355955115171724
g50	g61	0.0927631543635159
g18	g22	0.09153999300608497
g18	g17	0.09122687649079704
g12	g11	0.09077512416741075
g18	g41	0.09007782699003142
g1	g56	0.08931250690790239
g46	g14	0.08738190816821981
g18	g12	0.08720296353525453
g14	g47	0.08715185487227135
g3	g2	0.08671905464311526
g2	g6	0.08642497258367561
g47	g17	0.08404823124311395
g54	g5	0.08366869538239877
g2	g50	0.08319324422870056
g47	g20	0.08246855149340426
g59	g31	0.08134648782368742
g26	g15	0.08066903602939557
g21	g9	0.08028494550873083
g2	g3	0.08020603387935253
g3	g30	0.07984597529382037
g1	g30	0.07926548395667808
g56	g1	0.07880896733299932
g47	g12	0.07875167053470142
g45	g5	0.0783921274132786
g15	g26	0.07792458433282844
g3	g56	0.07732242971670283
g18	g20	0.07717045175941607
g13	g20	0.07697954478008229
g61	g15	0.07639175442399503
g61	g48	0.07591954279631069
g47	g22	0.07535590330557694
g31	g57	0.07185158617061621
g11	g31	0.07180030442171197
g13	g17	0.07098081010411147
g20	g47	0.07064700306736034
g22	g47	0.0705989149922474
g45	g56	0.0694528590490989
g6	g61	0.06917625441636592
g61	g26	0.06906074879513806
g13	g12	0.06890583739780236
g56	g45	0.06829889366941189
g22	g59	0.06808938237204892
g13	g22	0.06784134285711761
g11	g57	0.0678050598618808
g1	g61	0.06759788382028036
g11	g40	0.06757054986834676
g56	g50	0.0674191042270019
g17	g11	0.06740906550081982
g30	g39	0.06706404291904197
g56	g61	0.06691374229485257
g31	g11	0.06688741654348761
g45	g30	0.06681194483408452
g61	g8	0.06646783095008035
g12	g18	0.06568085193501207
g59	g11	0.06556393237527841
g9	g21	0.06541414483679266
g30	g6	0.06540362540263593
g11	g44	0.06501694021636904
g18	g36	0.0645198574201664
g39	g5	0.06437322367980366
g45	g54	0.0642765726075502
g50	g2	0.06418351243538258
g50	g19	0.06398769655155688
g12	g13	0.06385027451717559
g20	g11	0.06367973556910612
g22	g31	0.06362171500831748
g22	g13	0.06344590080025658
g17	g47	0.06315952180757056
g30	g3	0.06286331424920592
g13	g36	0.06265498322528239
g17	g18	0.06209483009385924
g13	g46	0.062033549635813694
g22	g18	0.06178830189737079
g56	g6	0.061590118871992075
g40	g10	0.061582406141135596
g17	g13	0.061429179558565396
g30	g61	0.060942339895722654
g18	g46	0.06078557758044082
g39	g56	0.0606646241821756
g30	g45	0.06057748199083094
g26	g21	0.06040644683997986
g47	g46	0.060115051984553455
g47	g36	0.05987874567726158
g6	g43	0.059592653444820155
g50	g48	0.05925944328153268
g6	g2	0.0591107685624334
g50	g8	0.058816720204117906
g21	g15	0.05802213873059289
g21	g26	0.05785488977144732
g13	g29	0.057761716883740766
g20	g18	0.057701435825345614
g20	g13	0.0576243133301307
g39	g30	0.057298568179407455
g56	g39	0.05724278513997765
g50	g56	0.0568191662433487
g2	g45	0.05659277458087079
g30	g50	0.05597755318611846
g39	g54	0.05578273440576746
g56	g4	0.05559599732105407
g26	g9	0.05529421532137009
g20	g31	0.05506556489534591
g50	g63	0.05483283872502282
g46	g52	0.05476051441818915
g61	g50	0.05442972835057705
g2	g4	0.05431547733470127
g30	g4	0.05408373668851214
g9	g55	0.054019230350740806
g50	g30	0.053716567358921816
g31	g44	0.05368721103761799
g1	g7	0.053656024472879045
g2	g39	0.05350819425926104
g22	g16	0.05341967585108226
g41	g22	0.053242609073406166
g22	g57	0.0531883512557795
g59	g44	0.05311623759578597
g20	g59	0.0526668031286262
g14	g20	0.05227656172669149
g2	g61	0.05223466238759615
g12	g16	0.052072067682458305
g6	g63	0.05197199037400522
g14	g51	0.05191370470535687
g41	g20	0.05177430890103706
g36	g52	0.051470874278618656
g41	g12	0.051218493653255336
g10	g40	0.05112832167034253
g13	g31	0.0508437736754388
g12	g47	0.050750116134697806
g11	g10	0.05066359765289893
g11	g53	0.050643964962827644
g61	g6	0.05060889341798455
g10	g55	0.05039128269858688
g18	g29	0.050252723664135315
g61	g1	0.05012137922756379
g6	g19	0.05003693496100861
g18	g31	0.04969524376834153
g39	g2	0.04962144524506563
g59	g57	0.04951926967181606
g40	g21	0.049518040699835904
g55	g9	0.049501510230469274
g14	g12	0.049447496541629644
g15	g21	0.04944565703518146
g17	g10	0.04941188380838224
g29	g34	0.04933991312317445
g47	g25	0.04924595841173638
g56	g3	0.04898819964952587
g56	g8	0.04890255682237539
g41	g51	0.04843226132559856
g15	g61	0.048350037143304186
g3	g5	0.04831787270159474
g9	g34	0.048136189356139995
g30	g63	0.0480852365309755
g41	g17	0.04800912643089274
g47	g34	0.04798286754293178
g1	g63	0.04779348383208374
g15	g9	0.047790670546865234
g12	g62	0.04767646440669192
g41	g29	0.0474847768521091
g45	g2	0.047014999737302034
g45	g64	0.047002561891863213
g50	g43	0.04670581428787742
g14	g22	0.046699524981962726
g20	g40	0.04610003662876425
g31	g10	0.04605710923102735
g30	g48	0.046013672405034726
g2	g8	0.0459930725008107
g59	g53	0.045946013610672964
g20	g14	0.04581676179102983
g31	g53	0.04548962225826121
g17	g59	0.04528444673511869
g1	g43	0.04523881720697941
g26	g55	0.045191505731578
g14	g17	0.04492900250937337
g26	g61	0.044074864456353606
g41	g16	0.04400522810151492
g5	g45	0.043820774717350734
