TF	target	importance
g39	g45	106.09449916309596
g46	g36	97.30273852756252
g45	g39	90.38264776842995
g2	g56	87.32472056270696
g45	g3	85.57321476247942
g36	g46	85.34946913398946
g56	g30	80.42808763210975
g3	g39	76.20338520137122
g56	g2	74.5915884019783
g3	g45	70.94709521961636
g30	g56	69.52493999406816
g14	g46	67.48171191272876
g39	g3	64.28628332744626
g36	g14	63.92393283657635
g30	g2	62.6987873404438
g2	g30	60.93966777031912
g41	g14	59.263091478060964
g14	g41	58.09154759637154
g20	g17	57.64694793510034
g13	g18	56.45478224629685
g47	g18	53.89043964753077
g17	g20	53.377866865846755
g12	g22	51.81513191192596
g13	g46	51.72141484520315
g56	g45	50.85669110331176
g45	g30	50.52787004654137
g14	g36	49.71886149286021
g14	g13	49.26001704538512
g22	g17	47.93006826965535
g22	g12	47.677204834683685
g17	g22	47.60203886155932
g36	g41	46.884896775816856
g41	g36	46.608964348509915
g4	g45	45.96378053178587
g47	g13	45.10617325080841
g30	g45	44.99067331380247
g41	g13	44.95246702903404
g12	g20	42.88624181278333
g56	g39	42.572100579236505
g41	g46	41.833007234488804
g47	g14	41.51136926559243
g17	g12	41.4316185134257
g2	g3	41.24599858157634
g39	g56	41.193598265796645
g13	g14	41.04880577473186
g4	g3	40.41714860525434
g30	g39	40.228225948401246
g46	g41	39.76340175550081
g18	g17	39.382993340889016
g3	g56	39.35164411102193
g3	g30	39.2912710107157
g18	g47	37.614392310533674
g22	g18	37.32519207369202
g5	g4	37.09901629445235
g13	g36	36.88579422577487
g41	g47	36.65066854455914
g45	g2	35.88878467760367
g4	g39	35.402782123610045
g13	g47	34.17033027019902
g18	g13	33.29058309940112
g39	g30	31.22878950699611
g1	g56	31.137074545270213
g59	g40	30.973170342400643
g17	g47	30.90422373342216
g47	g20	30.831917267326453
g1	g2	30.659456399737284
g3	g2	30.167403326923107
g47	g12	29.74142366176021
g56	g3	29.15521435470388
g18	g22	29.130826395954085
g54	g5	28.73849413310091
g20	g22	28.487962515457045
g12	g17	28.411241816832785
g4	g5	28.273229129582514
g2	g39	28.00588919051625
g18	g14	27.414515752855966
g11	g10	27.235573354099078
g22	g31	27.15890642493574
g31	g40	27.054167134794803
g20	g18	27.00170810181266
g47	g36	26.9471329449689
g31	g10	26.91095566975336
g14	g18	26.858871814442498
g39	g4	26.852556966062465
g20	g47	26.687995520341353
g22	g20	26.579321047820688
g31	g9	26.085897420750953
g6	g50	26.03840725993206
g13	g41	25.991905514869384
g45	g56	25.891851584815186
g3	g4	25.71323323437092
g30	g3	25.546199169720204
g46	g14	25.503368955925062
g20	g12	25.480996863167892
g15	g26	25.472585462541858
g47	g22	25.36028147752084
g56	g1	25.06541793817085
g2	g1	24.815084955434077
g17	g18	24.45610640601839
g14	g47	24.246003720229496
g47	g41	23.987571147590284
g20	g13	23.797863777739593
g2	g45	23.513162368374623
g11	g9	23.24285611558737
g12	g10	22.950613605455242
g21	g55	22.662058731294245
g41	g18	22.57827197037487
g47	g17	22.54609947468853
g18	g41	22.530872205034957
g10	g31	22.48542213672245
g59	g31	22.483997565579717
g12	g31	22.3668623308909
g31	g59	22.352334187616837
g11	g40	22.089137701124763
g10	g59	21.98476765994661
g55	g48	21.824340645289897
g17	g41	21.53239559501185
g59	g12	21.504489212831885
g17	g11	21.503192166926546
g40	g53	21.240309384591455
g55	g9	21.19829099612157
g12	g13	21.149267520924198
g20	g59	21.07942327718244
g22	g13	20.818009345030106
g50	g6	20.807075169304486
