TF	target	importance
g45	g39	107.4416232539628
g56	g30	90.92869749371079
g46	g36	88.31487039905218
g30	g2	85.25290264555302
g39	g45	78.59498011350084
g3	g39	75.3484235401915
g13	g18	71.57904624208396
g45	g3	70.09762858767013
g3	g45	69.48153175496925
g30	g56	69.17555764179457
g22	g17	66.5298616284178
g2	g30	64.7525458170095
g4	g3	64.66778361315896
g36	g14	64.43200662856702
g39	g3	62.8473322337648
g47	g18	62.20341397075566
g17	g22	60.52431556570563
g2	g1	58.397266643855154
g4	g5	57.795087551789585
g18	g13	56.909112828822224
g13	g47	54.54611273684721
g56	g2	54.111019004545575
g17	g20	53.80140323851475
g13	g14	53.55655292996796
g3	g2	53.345812268540456
g41	g46	51.871289597063196
g36	g46	51.3748341259867
g5	g4	51.284862693561784
g14	g36	49.97522764101378
g6	g50	49.93625707231227
g2	g56	49.11520803127075
g14	g41	48.99400325267642
g1	g50	48.949665281066686
g41	g14	48.75872275101767
g17	g12	48.35985463049296
g41	g36	48.22099367469183
g47	g13	48.15750670500241
g18	g41	47.95674312853166
g18	g47	47.69278261209502
g4	g45	47.38933912642843
g22	g12	46.11105965341815
g2	g3	44.8803980371359
g47	g14	44.50444693570465
g14	g46	43.858414939215585
g4	g39	43.49134328998519
g14	g13	42.94418330540337
g13	g46	42.73926682252783
g20	g17	42.415535997565975
g47	g12	42.2689401072537
g50	g1	40.694988099301575
g14	g18	40.6184100740806
g46	g41	40.16812152459672
g18	g36	39.80048806179625
g41	g13	39.64932923792489
g30	g3	39.44852697436719
g12	g20	39.186811614197055
g3	g30	38.92632474366671
g45	g4	38.587763753595176
g6	g1	38.22293200158397
g50	g6	38.13469599575146
g18	g12	37.80266723963466
g39	g4	37.75865248727391
g20	g22	37.40684971709355
g2	g45	37.11693757278745
g13	g36	37.033193053025556
g20	g18	36.70980778729818
g20	g12	36.21594120114645
g56	g1	35.94588054306941
g13	g41	35.87502476187781
g13	g20	34.956399833969655
g22	g20	34.77786245623582
g1	g56	34.075313273820896
g12	g22	33.899753690923895
g14	g47	33.47094689588684
g18	g22	33.014412151603175
g12	g17	32.761384805092106
g18	g17	32.66725695846685
g41	g47	32.56343759541545
g46	g47	32.21975917483048
g36	g41	32.14000639475075
g47	g36	31.795873802656462
g46	g13	31.78919259252345
g1	g6	31.483025086282996
g3	g4	31.45323051146406
g30	g1	31.375043819565285
g31	g59	31.26907749937401
g47	g46	31.13676762882216
g39	g2	30.9514767835863
g30	g45	30.691838237824626
g1	g30	30.33941144409026
g36	g18	30.083382689078956
g40	g10	29.865205676429927
g3	g56	29.808097235716726
g41	g18	29.37475921266469
g47	g41	29.215797489954088
g20	g11	29.165037981374095
g56	g3	28.80989325037714
g36	g47	28.26587715405174
g20	g47	28.043829272534676
g1	g2	27.959657742814382
g20	g36	27.953111291431984
g12	g18	27.875037108790607
g56	g45	27.86440048659613
g36	g13	26.97816805040245
g46	g14	26.766329140153847
g59	g31	26.693903809258504
g55	g9	26.64812433690616
g18	g46	26.416127252487943
g56	g39	25.436483941778175
g45	g56	25.212445315894215
g18	g14	25.21063026706011
g13	g17	25.17044617419854
g30	g39	24.712209845620425
g47	g20	24.661445522594846
g46	g18	24.641796667228224
g22	g47	24.234562331854427
g2	g50	24.212160485378003
g10	g40	23.530146432442923
g47	g17	23.333878889655622
g11	g10	23.274158938732953
g22	g59	22.798719379173964
g12	g13	22.619811132632655
g45	g30	22.582821342646252
g47	g31	22.568606963366094
g54	g5	22.51521644731915
g13	g22	22.215871402028252
g45	g2	21.98714086513167
g21	g40	21.960110866180784
g55	g21	21.849239182004094
g1	g3	21.56608159932157
g39	g56	21.479743841559536
g39	g30	21.16896047108498
g22	g11	20.983161453199756
g13	g12	20.89113499238301
g50	g2	20.68812751051946
g10	g9	20.416782666184044
g22	g18	20.403803355176947
g61	g48	20.257672630040418
g11	g59	20.22754760307022
g59	g11	20.208963621533822
g11	g57	20.177503051856903
g17	g13	19.95711273879018
g47	g22	19.85864120748755
g50	g63	19.857039627130202
g18	g20	19.705106752092014
g6	g43	19.401903577360123
g31	g10	19.360986532594072
g17	g11	19.341750394303823
g14	g17	19.145831020327716
g6	g5	18.91063608676521
g26	g15	18.56722789216428
g22	g41	18.530597974750275
g6	g19	18.486921900032137
g22	g36	18.400326087099735
g11	g53	18.263610017418834
g15	g26	18.206047730787752
g40	g55	18.158844781300395
g47	g37	18.14627985682469
g2	g6	18.118509252140875
g45	g5	18.02814917901666
g10	g55	17.906000995416903
g40	g9	17.893991918654248
g11	g9	17.828132004407898
g2	g4	17.80028542990862
g2	g39	17.789980509784005
g4	g30	17.66681519495564
g18	g25	17.61425341785145
g6	g63	17.332976223806135
g18	g29	17.309481492387743
g55	g40	17.032810124676345
g61	g30	16.843421768118077
g10	g11	16.79569097238798
g59	g22	16.78329358173855
g17	g59	16.74979482319617
g18	g37	16.643971804486753
g20	g46	16.546641838240852
g63	g6	16.519065637143648
g15	g1	16.508023198565173
g11	g55	16.48313468490188
g48	g61	16.466561753424003
g39	g64	16.373781998662615
g50	g3	16.320874671201793
g17	g47	16.271315194852708
g3	g1	16.235437846382876
g21	g55	16.206889501030314
g11	g31	16.206223487735585
g44	g57	15.971116496340638
g14	g20	15.892678323865303
g31	g46	15.891164532524321
g13	g37	15.871387988429543
g9	g10	15.837763056996577
g6	g61	15.831144405690228
g31	g57	15.779784600561419
g59	g44	15.75975102289463
g22	g46	15.75740024565203
g61	g1	15.712895859968883
g13	g31	15.697686051322082
g55	g10	15.614979362333024
g59	g17	15.490924655085204
g20	g13	15.475139234057753
g22	g31	15.362270193748943
g14	g25	15.279583665729994
g61	g6	15.244920095150237
g39	g5	15.086329767055354
g12	g47	15.03291750135609
g9	g26	15.031341631612081
g59	g57	14.992875830524666
g61	g8	14.845041407897403
g39	g1	14.825365997741336
g45	g64	14.823826013047128
g14	g12	14.756259142122127
g9	g55	14.742349422873488
g50	g61	14.720026296075103
g4	g2	14.655350474514735
g15	g56	14.641552782790606
g22	g13	14.585702441412263
g36	g20	14.532116926168431
g50	g48	14.48672664782427
g20	g41	14.410145756309394
g22	g9	14.367838317846301
g47	g10	14.33915016128574
g11	g20	14.305399812636374
g19	g6	14.230738470209909
g20	g62	14.081858871714148
g49	g4	13.923104927824838
g14	g22	13.778463107688571
g6	g7	13.770493060430834
g31	g53	13.76947098964681
g9	g22	13.534506861383825
g46	g52	13.517433482587666
g47	g59	13.489223286835722
g61	g39	13.447651657351994
g33	g45	13.437373538342847
g9	g8	13.392101742677605
g50	g30	13.370442628408279
g31	g44	13.357051867542795
g56	g50	13.316935788007564
g56	g61	13.274996583678133
g8	g19	13.27476012802722
g17	g36	13.170128789340025
g48	g7	13.15223316601739
g13	g40	13.079164865926758
g11	g18	13.078096987099256
g12	g41	13.075205222369217
g13	g29	13.047705447518751
g41	g12	13.044976461811705
g8	g9	13.010740203162179
g59	g40	13.009147240636773
g16	g62	13.006896742393508
g36	g17	12.974637864531072
g58	g35	12.962709819066035
g52	g36	12.933912298602495
g30	g48	12.835567369327643
g31	g20	12.772279473350737
g7	g6	12.767362349290078
g52	g46	12.763815984429025
g59	g10	12.727212870403525
g40	g21	12.653068896246625
g41	g25	12.652354536233332
g5	g45	12.605410158330267
g53	g4	12.572514790766109
g1	g43	12.468188670598234
g12	g36	12.457097957047464
g56	g6	12.430318803781486
g39	g33	12.429920385681127
g12	g59	12.41360333532498
g41	g31	12.391015939364847
g60	g34	12.376701644778864
g17	g16	12.340521340476789
g21	g26	12.311182921058716
g59	g9	12.3043415154665
g57	g44	12.245849967980444
g3	g5	12.222400832087027
g31	g9	12.168629141464047
g9	g59	12.145561448296096
g48	g26	12.097308860913973
g31	g11	12.030250965792245
g17	g40	12.007399871344827
g4	g56	11.995838154370533
g33	g3	11.906593325183447
g12	g46	11.879290363090817
g50	g43	11.863921315038803
g10	g53	11.851877978209155
g18	g31	11.84794279121571
g2	g43	11.817782429192441
g41	g37	11.805181074079192
g41	g20	11.761765595837192
g31	g12	11.749932859042575
g22	g16	11.741770411622323
g10	g31	11.729004612792004
g10	g59	11.721637227908117
g9	g40	11.714487671094652
g18	g59	11.710026636823303
g30	g61	11.70797208842377
g30	g15	11.679652190127241
g31	g41	11.650915035920972
g20	g10	11.625425095942365
g1	g63	11.609515358560277
g10	g21	11.588327486340361
g19	g8	11.586832954959561
g9	g61	11.560911906924227
g46	g12	11.450760988855668
g36	g22	11.351081015648694
g1	g15	11.346359374741832
g56	g15	11.313438831338079
g30	g4	11.30199069369939
g14	g51	11.301435395975043
g5	g6	11.274288445005405
g45	g33	11.201152174037817
g64	g39	11.142942159316851
g15	g55	11.141791743987614
g1	g4	11.09662500735577
g13	g59	11.047390444617326
g14	g29	10.966287295652664
g2	g5	10.89499008343632
g10	g44	10.840893212394272
g43	g6	10.83692508410843
g63	g50	10.828210244263188
g55	g11	10.8213908082363
g2	g19	10.747165821122
g50	g19	10.734181297220923
g20	g59	10.723241241276456
g50	g56	10.71858710461902
g16	g17	10.714248123105339
g18	g40	10.701317952775605
g15	g39	10.689316144414782
g53	g29	10.680692502362783
g33	g39	10.68017464104868
g9	g43	10.665206134307413
g22	g10	10.652528767523325
g14	g31	10.63197905025959
g50	g7	10.618528766264141
g31	g40	10.539323006386807
g41	g22	10.531555666056859
g10	g26	10.509976468500838
g20	g44	10.491399736644524
g11	g22	10.442784660153272
g14	g59	10.440962643631977
g12	g11	10.348506146377014
g12	g40	10.346068548759762
g30	g63	10.329704710984366
g1	g7	10.283841906903469
g19	g1	10.248279933393931
g25	g5	10.155102817986052
g12	g31	10.141356557973515
g11	g44	10.13784027230402
g20	g31	10.136346423357024
g48	g30	9.98364458894384
g41	g51	9.97047450127124
g14	g52	9.964720571093132
g25	g18	9.934368472609254
g31	g17	9.925549224378207
g46	g20	9.905469521194185
g12	g62	9.898876766717287
g59	g41	9.886346788130778
g56	g4	9.882850131202247
g40	g26	9.877830274545248
g19	g50	9.859905336946301
g58	g4	9.841865525642842
g56	g5	9.839273843003872
g63	g1	9.834939835832529
g5	g39	9.816510286691127
g17	g57	9.782106230464471
g17	g18	9.763351262842267
g30	g6	9.747893198566638
g40	g36	9.746134691450555
g11	g13	9.74366134861242
g15	g61	9.719285446705651
g48	g63	9.703156032253892
g55	g26	9.694373409486467
g61	g15	9.679193581120222
g12	g14	9.625421259368732
g31	g22	9.573443798666494
g6	g2	9.57301403601005
g6	g8	9.519129679334355
g14	g62	9.510994034318179
g3	g64	9.467830171100458
g17	g46	9.464135328574626
g10	g8	9.431083030844318
g48	g6	9.424782006400543
g36	g52	9.419685369898366
g63	g30	9.400900833825569
g5	g54	9.383358792499337
g64	g45	9.325837897162135
g63	g19	9.321088181361032
g13	g25	9.318966046626407
g59	g12	9.31771541359446
g17	g41	9.301810021680938
