SourceGENES,TargetGENES,Interaction,Edges
g5,g24,1,activation
g36,g46,0.998304845648608,activation
g5,g38,0.932859764871492,repression
g36,g36,0.904822630634107,activation
g49,g38,0.897595378695221,repression
g49,g24,0.864211150637022,activation
g53,g24,0.779634937023764,repression
g11,g62,0.753861901716303,activation
g44,g60,0.624254328017512,repression
g16,g0,0.613082900809774,repression
g42,g24,0.58264937374149,activation
g16,g7,0.557682005917457,activation
g34,g23,0.545086333271011,activation
g5,g0,0.527657178711326,activation
g57,g62,0.523624781482772,repression
g36,g52,0.520821647380599,repression
g53,g23,0.516193905892085,activation
g34,g52,0.51561033850847,repression
g44,g19,0.513989138638074,repression
g11,g57,0.510487775620424,repression
g5,g1,0.506346834123995,repression
g53,g0,0.503673323702388,repression
g5,g28,0.487363598872346,activation
g57,g23,0.483941482408203,activation
g36,g14,0.462957860258935,activation
g16,g51,0.461388814983084,activation
g44,g32,0.436735649226081,activation
g5,g50,0.423795572080075,activation
g49,g0,0.414709191846604,activation
g34,g63,0.406803864174122,activation
g59,g62,0.401045526203079,repression
g11,g16,0.400991475954132,activation
g57,g57,0.400539779157735,activation
g11,g23,0.397981395144372,activation
g57,g7,0.393679956119079,repression
g36,g47,0.391764182552167,activation
g34,g19,0.387078275214175,activation
g53,g62,0.386205516625035,activation
g36,g20,0.384559869425393,activation
g16,g9,0.381788911985,repression
g57,g44,0.380728077524625,activation
g16,g23,0.3722969107493,repression
g44,g49,0.368240220782882,activation
g11,g10,0.367871402701977,activation
g5,g64,0.36655724185514,activation
g5,g37,0.366058921345893,activation
g11,g8,0.363907628083625,repression
g18,g62,0.362368229845841,activation
g46,g46,0.354124278623763,activation
g44,g63,0.352056280402975,activation
g53,g7,0.352026955992383,activation
g11,g53,0.351904427514615,repression
g16,g49,0.34887759599814,activation
g46,g36,0.348218111222415,activation
g57,g38,0.347327746842544,activation
g34,g24,0.346654149162982,activation
g59,g8,0.346094275307628,repression
g11,g9,0.344838141489081,activation
g36,g12,0.342606623256434,repression
g42,g52,0.342456422146623,activation
g11,g44,0.341209179102279,activation
g49,g50,0.3397081421959,activation
g49,g1,0.33507185673015,repression
g34,g40,0.333948531510473,activation
g59,g9,0.332819449914351,activation
g44,g52,0.332007878690494,activation
g44,g55,0.33059101451917,repression
g57,g16,0.330521683415438,activation
g16,g8,0.325622734958456,activation
g53,g9,0.325082050880619,activation
g16,g62,0.325053238323543,activation
g44,g0,0.324690861907106,activation
g44,g35,0.324560211504853,repression
g34,g7,0.322108654569989,repression
g53,g40,0.320352611131206,repression
g49,g7,0.320325771760122,activation
g44,g23,0.319159056998339,activation
g53,g28,0.318523586839282,activation
g44,g8,0.318342410682744,repression
g11,g15,0.317344444063988,activation
g57,g53,0.317033964302316,repression
g59,g40,0.316642813168827,repression
g49,g52,0.31478690888559,activation
g11,g7,0.310027338867491,repression
g44,g64,0.309118321723408,activation
g53,g52,0.308626234330592,repression
g34,g8,0.308345476294797,repression
g11,g40,0.304800560464196,repression
g59,g23,0.302423141480595,activation
g53,g38,0.299953654455713,repression
g5,g7,0.298606080177741,repression
g11,g31,0.295480831713668,repression
g11,g59,0.29533577575295,activation
g44,g9,0.295160018422229,repression
g34,g29,0.294836309291298,activation
g53,g15,0.291685359982488,activation
g16,g15,0.291135749881761,activation
g53,g57,0.289570903411247,repression
g44,g5,0.289018798107735,activation
g53,g63,0.287999174085295,repression
g49,g28,0.287824486745496,activation
g49,g23,0.285463460805521,repression
g36,g18,0.283275331234221,activation
g34,g61,0.283248927471894,activation
g53,g19,0.281770521812254,activation
g34,g9,0.280318702283921,repression
g34,g0,0.280230492448842,repression
g34,g57,0.279969338160485,activation
g5,g3,0.279842356234537,repression
g16,g26,0.279759823951647,activation
g36,g41,0.279233969646718,repression
g59,g63,0.27498268501686,activation
g16,g50,0.274761742946782,repression
g16,g19,0.273077636103372,repression
g34,g55,0.272383305899935,activation
g34,g60,0.27060324093748,repression
g57,g8,0.260681749166731,repression
g36,g11,0.260352183243956,activation
g53,g29,0.256081323867347,activation
g53,g49,0.256019605303751,repression
g44,g40,0.254957606006193,activation
g34,g43,0.254105937143771,activation
g59,g52,0.253637928181888,activation
g53,g26,0.251600532068346,activation
g34,g26,0.251132228471142,activation
g57,g10,0.250479937297331,repression
g44,g26,0.248972292874757,repression
g53,g33,0.248925892878512,activation
g34,g62,0.248142611590145,repression
g57,g5,0.247745768720891,activation
g18,g57,0.247509425651673,repression
g42,g28,0.244967956495364,activation
g39,g38,0.24395605306992,repression
g6,g64,0.241743824671809,repression
g18,g16,0.241603715917112,repression
g34,g15,0.238319807253259,repression
g57,g15,0.238016316709465,repression
g44,g24,0.237888928621841,activation
g42,g33,0.235621114305387,activation
g57,g42,0.234351369818541,activation
g53,g64,0.233518294153132,repression
g59,g15,0.233325211081531,repression
g11,g51,0.232477921207711,repression
g18,g10,0.232186096117261,repression
g59,g16,0.232086951727285,activation
g49,g37,0.230518569726773,repression
g44,g33,0.229259215010023,repression
g34,g48,0.228542050957177,activation
g59,g19,0.227494299487991,activation
