Gene1	Gene2	corVal	pValue
g0	g0	1	0
g1	g1	1	0
g10	g10	1	0
g11	g11	1	0
g12	g12	1	0
g13	g13	1	0
g14	g14	1	0
g15	g15	1	0
g16	g16	1	0
g17	g17	1	0
g18	g18	1	0
g19	g19	1	0
g2	g2	1	0
g20	g20	1	0
g21	g21	1	0
g22	g22	1	0
g23	g23	1	0
g24	g24	1	0
g25	g25	1	0
g26	g26	1	0
g27	g27	1	0
g28	g28	1	0
g29	g29	1	0
g3	g3	1	0
g30	g30	1	0
g31	g31	1	0
g32	g32	1	0
g33	g33	1	0
g34	g34	1	0
g35	g35	1	0
g36	g36	1	0
g37	g37	1	0
g38	g38	1	0
g39	g39	1	0
g4	g4	1	0
g40	g40	1	0
g41	g41	1	0
g42	g42	1	0
g43	g43	1	0
g44	g44	1	0
g45	g45	1	0
g46	g46	1	0
g47	g47	1	0
g48	g48	1	0
g49	g49	1	0
g5	g5	1	0
g50	g50	1	0
g51	g51	1	0
g52	g52	1	0
g53	g53	1	0
g54	g54	1	0
g55	g55	1	0
g56	g56	1	0
g57	g57	1	0
g58	g58	1	0
g59	g59	1	0
g6	g6	1	0
g60	g60	1	0
g61	g61	1	0
g62	g62	1	0
g63	g63	1	0
g64	g64	1	0
g7	g7	1	0
g8	g8	1	0
g9	g9	1	0
g36	g46	0.318281236201915	5.59407786375753e-07
g46	g36	0.318281236201915	5.59407786375768e-07
g39	g45	0.302554677044025	2.08693704022849e-06
g45	g39	0.302554677044025	2.0869370402285e-06
g56	g30	0.294838594302786	3.87357786414915e-06
g30	g56	0.294838594302786	3.87357786414915e-06
g18	g47	0.294307156360276	4.03950045377804e-06
g47	g18	0.294307156360276	4.03950045377814e-06
g56	g2	0.293334038402901	4.36101411357863e-06
g2	g56	0.293334038402901	4.36101411357868e-06
g20	g22	0.289716211467168	5.78325912165093e-06
g22	g20	0.289716211467168	5.78325912165106e-06
g41	g13	0.275600038239729	1.67724524526577e-05
g13	g41	0.275600038239729	1.67724524526577e-05
g30	g2	0.256024586536061	6.6838475678485e-05
g2	g30	0.25602458653606	6.68384756784865e-05
g53	g57	0.244706433110941	0.000141629374005781
g57	g53	0.244706433110941	0.000141629374005782
g20	g17	0.235124283828544	0.000260323665702012
g17	g20	0.235124283828544	0.000260323665702017
g20	g47	0.232446469512754	0.000307251321061201
g47	g20	0.232446469512754	0.000307251321061202
g6	g1	0.231467613335148	0.000326287423652681
g1	g6	0.231467613335148	0.000326287423652681
g13	g18	0.23098808326696	0.000336008014182856
g18	g13	0.23098808326696	0.000336008014182861
g3	g45	0.22911727997593	0.000376563148432458
g45	g3	0.229117279975929	0.000376563148432459
g22	g12	0.228091818120454	0.000400677596029584
g12	g22	0.228091818120454	0.000400677596029591
g3	g39	0.2202996783199	0.000636421175359008
g39	g3	0.2202996783199	0.000636421175359008
g2	g1	0.217393511064236	0.000753257066784846
g1	g2	0.217393511064236	0.000753257066784849
g6	g23	0.215302425497907	0.0008492372816013
g23	g6	0.215302425497907	0.000849237281601303
g18	g21	0.214730474541283	0.000877386196538398
g21	g18	0.214730474541283	0.0008773861965384
g28	g40	0.214086829764771	0.000910089882187975
g40	g28	0.214086829764771	0.000910089882187982
g14	g36	0.212260072801305	0.00100911874432804
g36	g14	0.212260072801305	0.00100911874432805
g13	g44	0.196474077524117	0.00237871555791309
g44	g13	0.196474077524117	0.0023787155579131
g46	g33	0.183555918625995	0.00458264965004732
g33	g46	0.183555918625995	0.00458264965004733
g47	g41	0.182323027198515	0.0048682344013507
g41	g47	0.182323027198515	0.00486823440135071
g43	g63	0.178744632936292	0.00578991696905195
g63	g43	0.178744632936292	0.00578991696905197
g60	g58	0.175022767916536	0.00691154884979093
g58	g60	0.175022767916536	0.00691154884979096
g63	g28	0.174134794333126	0.00720627241588152
g28	g63	0.174134794333126	0.00720627241588156
g49	g33	0.170344780587544	0.00859407646484503
g33	g49	0.170344780587544	0.00859407646484506
g4	g3	0.170133041173808	0.00867818308590303
g3	g4	0.170133041173808	0.00867818308590307
g63	g19	0.169647503164508	0.00887381286433806
g19	g63	0.169647503164508	0.00887381286433806
g31	g13	0.167730687451915	0.00968488956581303
g13	g31	0.167730687451915	0.0096848895658131
g46	g14	0.167147878154608	0.00994418640906007
g14	g46	0.167147878154608	0.00994418640906015
g12	g47	0.166080410605596	0.0104350842122883
g47	g12	0.166080410605596	0.0104350842122884
g48	g59	0.16113238898012	0.0130011541746179
g59	g48	0.161132388980119	0.0130011541746179
g26	g28	0.160694042243901	0.0132532160384926
g28	g26	0.160694042243901	0.0132532160384926
g10	g13	0.157907490572524	0.0149582448560025
g13	g10	0.157907490572524	0.0149582448560025
g62	g54	0.156543550478486	0.0158606861014452
g54	g62	0.156543550478486	0.0158606861014453
g6	g44	0.156039800077292	0.0162058231227157
g44	g6	0.156039800077292	0.0162058231227158
g64	g58	0.152276807364531	0.0189978772877015
g58	g64	0.15227680736453	0.0189978772877016
g14	g41	0.149575163018682	0.0212518899164096
g41	g14	0.149575163018681	0.0212518899164098
g17	g12	0.149247288435362	0.0215405911659051
g12	g17	0.149247288435362	0.0215405911659051
g7	g63	0.149021895772651	0.0217410168720273
g63	g7	0.149021895772651	0.0217410168720273
g21	g9	0.14874737597999	0.0219873043172908
g9	g21	0.148747375979989	0.0219873043172911
g43	g8	0.148031939526154	0.0226405259736741
g8	g43	0.148031939526154	0.0226405259736743
g31	g45	0.14732425620104	0.0233030869989791
g45	g31	0.14732425620104	0.0233030869989792
g58	g20	0.147309990000812	0.0233166137589881
g20	g58	0.147309990000812	0.0233166137589881
g12	g59	0.146847455831957	0.0237588585235622
g59	g12	0.146847455831957	0.0237588585235622
g20	g0	0.14497754348333	0.025621220951632
g0	g20	0.14497754348333	0.025621220951632
g43	g4	0.144690291543765	0.0259181520143317
g4	g43	0.144690291543765	0.0259181520143317
g25	g29	0.144217259368402	0.0264135663907199
g29	g25	0.144217259368402	0.0264135663907201
g58	g1	0.143539160109995	0.0271379186342163
g1	g58	0.143539160109995	0.0271379186342163
g47	g11	0.141359047340365	0.0295832720391337
g11	g47	0.141359047340365	0.0295832720391337
g58	g15	0.14135129736755	0.0295922901629958
g15	g58	0.14135129736755	0.0295922901629959
g12	g6	0.139869893091713	0.0313597998705547
