Gene1	Gene2	corVal	pValue
g0	g0	1	0
g1	g1	1	0
g10	g10	1	0
g11	g11	1	0
g12	g12	1	0
g13	g13	1	0
g14	g14	1	0
g15	g15	1	0
g16	g16	1	0
g17	g17	1	0
g18	g18	1	0
g19	g19	1	0
g2	g2	1	0
g20	g20	1	0
g21	g21	1	0
g22	g22	1	0
g23	g23	1	0
g24	g24	1	0
g25	g25	1	0
g26	g26	1	0
g27	g27	1	0
g28	g28	1	0
g29	g29	1	0
g3	g3	1	0
g30	g30	1	0
g31	g31	1	0
g32	g32	1	0
g33	g33	1	0
g34	g34	1	0
g35	g35	1	0
g36	g36	1	0
g37	g37	1	0
g38	g38	1	0
g39	g39	1	0
g4	g4	1	0
g40	g40	1	0
g41	g41	1	0
g42	g42	1	0
g43	g43	1	0
g44	g44	1	0
g45	g45	1	0
g46	g46	1	0
g47	g47	1	0
g48	g48	1	0
g49	g49	1	0
g5	g5	1	0
g50	g50	1	0
g51	g51	1	0
g52	g52	1	0
g53	g53	1	0
g54	g54	1	0
g55	g55	1	0
g56	g56	1	0
g57	g57	1	0
g58	g58	1	0
g59	g59	1	0
g6	g6	1	0
g60	g60	1	0
g61	g61	1	0
g62	g62	1	0
g63	g63	1	0
g64	g64	1	0
g7	g7	1	0
g8	g8	1	0
g9	g9	1	0
g17	g20	0.36932595909923	4.51077723571017e-09
g20	g17	0.36932595909923	4.51077723571025e-09
g36	g46	0.356397957140248	1.66052634945292e-08
g46	g36	0.356397957140248	1.66052634945297e-08
g47	g18	0.346307120078563	4.4135774340951e-08
g18	g47	0.346307120078563	4.41357743409515e-08
g45	g39	0.326632987161881	2.6946674178199e-07
g39	g45	0.326632987161881	2.69466741781994e-07
g30	g2	0.313069295847621	8.72740785691806e-07
g2	g30	0.313069295847621	8.72740785691835e-07
g56	g30	0.272740648984159	2.06646424278125e-05
g30	g56	0.272740648984158	2.06646424278133e-05
g41	g14	0.255138286235565	7.09763656448259e-05
g14	g41	0.255138286235565	7.09763656448261e-05
g22	g12	0.25158823282019	9.00878869986465e-05
g12	g22	0.25158823282019	9.00878869986469e-05
g2	g3	0.246029632545297	0.000129959130014358
g3	g2	0.246029632545296	0.000129959130014362
g20	g18	0.237438738440606	0.000225234948807519
g18	g20	0.237438738440605	0.000225234948807524
g10	g11	0.225567350984777	0.000466282496046954
g11	g10	0.225567350984777	0.000466282496046959
g9	g55	0.224848788025612	0.000486700487576752
g55	g9	0.224848788025612	0.000486700487576755
g2	g56	0.211273115268049	0.00106665636768724
g56	g2	0.211273115268048	0.00106665636768725
g31	g40	0.206746634655222	0.00137119397846767
g40	g31	0.206746634655222	0.00137119397846768
g3	g39	0.206198689760751	0.00141302599204673
g39	g3	0.206198689760751	0.00141302599204676
g62	g50	0.205916706231707	0.00143500624194401
g50	g62	0.205916706231707	0.00143500624194402
g14	g46	0.202242607941123	0.00175148264062459
g46	g14	0.202242607941122	0.00175148264062464
g5	g4	0.201851020496659	0.00178872663712058
g4	g5	0.201851020496659	0.00178872663712059
g45	g3	0.199127595078643	0.00206841842432931
g3	g45	0.199127595078643	0.00206841842432932
g43	g63	0.199083605853384	0.00207324641621099
g63	g43	0.199083605853384	0.00207324641621101
g13	g47	0.194751394736114	0.00260223485887484
g47	g13	0.194751394736113	0.00260223485887484
g24	g40	0.194097516161582	0.00269195544462325
g40	g24	0.194097516161582	0.00269195544462327
g59	g21	0.190252624465062	0.00327873969788933
g21	g59	0.190252624465062	0.00327873969788935
g21	g25	0.189993659823996	0.00332214305428647
g25	g21	0.189993659823996	0.00332214305428647
g9	g11	0.188489052665543	0.00358476770722137
g11	g9	0.188489052665543	0.00358476770722138
g12	g20	0.186418911756869	0.00397677539395526
g20	g12	0.186418911756869	0.00397677539395529
g49	g45	0.178632999374547	0.00582103133168692
g45	g49	0.178632999374547	0.00582103133168692
g5	g57	0.175507572615031	0.00675522193939993
g57	g5	0.175507572615031	0.00675522193939996
g14	g18	0.168919185712132	0.00917460292541424
g18	g14	0.168919185712131	0.00917460292541439
g44	g35	0.168492010171477	0.0093551999621116
g35	g44	0.168492010171477	0.00935519996211161
g48	g21	0.168223084667217	0.00947050348395183
g21	g48	0.168223084667217	0.00947050348395193
g53	g57	0.165537849178184	0.0106927097984185
g57	g53	0.165537849178184	0.0106927097984185
g38	g44	0.165057547428332	0.0109254448801538
g44	g38	0.165057547428332	0.0109254448801539
g48	g0	0.16411418126319	0.0113956167225522
g0	g48	0.16411418126319	0.0113956167225522
g1	g56	0.163182868851637	0.0118771965443625
g56	g1	0.163182868851637	0.0118771965443626
g34	g59	0.161297565933333	0.0129072713816476
g59	g34	0.161297565933332	0.0129072713816477
g13	g14	0.16120333308071	0.0129607578959417
g14	g13	0.16120333308071	0.0129607578959418
g4	g16	0.159836530722159	0.0137587483257028
g16	g4	0.159836530722159	0.0137587483257029
g20	g48	0.159826663742012	0.0137646623814504
g48	g20	0.159826663742012	0.0137646623814505
g11	g42	0.158412290613153	0.0146358267497156
g42	g11	0.158412290613153	0.0146358267497156
g6	g2	0.158307206819567	0.0147024380266876
g2	g6	0.158307206819567	0.0147024380266876
g16	g26	0.158016937746358	0.014887817379486
g26	g16	0.158016937746358	0.0148878173794861
g43	g24	0.157846685995157	0.0149974974874242
g24	g43	0.157846685995157	0.0149974974874242
g15	g26	0.155161538247227	0.0168232517243897
g26	g15	0.155161538247227	0.0168232517243898
g8	g59	0.154527215183541	0.0172818559060919
g59	g8	0.154527215183541	0.0172818559060919
g61	g34	0.154025016286056	0.0176526265350051
g34	g61	0.154025016286056	0.0176526265350051
g36	g19	0.152319551685315	0.0189639521629127
g19	g36	0.152319551685315	0.0189639521629127
g59	g20	0.152208074924377	0.0190525391058451
g20	g59	0.152208074924377	0.0190525391058451
g34	g62	0.151821394244503	0.0193626135191975
g62	g34	0.151821394244503	0.0193626135191977
g5	g30	0.15170233212693	0.0194589659733741
g30	g5	0.15170233212693	0.0194589659733743
g13	g41	0.150512149415285	0.0204452366888352
g41	g13	0.150512149415285	0.0204452366888353
g29	g37	0.150438125874448	0.0205079839876915
g37	g29	0.150438125874447	0.0205079839876917
g27	g20	0.150373962951929	0.0205625077060849
g20	g27	0.150373962951929	0.0205625077060851
g5	g38	0.149979367173546	0.0209005924925698
