SourceGENES,TargetGENES,Interaction,Edges
g6,g33,1.17199323506784,repression
g50,g33,1.14705313314029,repression
g39,g33,1.04710968373789,repression
g45,g33,1.03302425268635,repression
g27,g0,1,activation
g50,g54,0.913971497188357,repression
g12,g51,0.913167131239416,activation
g22,g44,0.911898125070622,repression
g8,g33,0.907152636186028,repression
g47,g23,0.864389717709057,repression
g22,g23,0.840550438522494,repression
g61,g33,0.824060036046789,activation
g46,g60,0.765158773823766,repression
g15,g0,0.763480960853815,activation
g39,g38,0.751298555441688,repression
g6,g54,0.732352010117477,repression
g53,g0,0.714826744203723,activation
g12,g60,0.708097109170514,activation
g47,g31,0.692978150198915,repression
g1,g33,0.686305977416898,activation
g47,g51,0.68034755235383,repression
g14,g51,0.678951068949376,repression
g13,g0,0.655603123921873,repression
g18,g60,0.65418477675253,activation
g53,g44,0.652270688896308,activation
g47,g60,0.646938023961712,activation
g53,g51,0.627328789685929,activation
g27,g24,0.626462952665895,activation
g12,g23,0.601885587705833,activation
g36,g60,0.588717313399564,repression
g45,g38,0.587753323317457,activation
g22,g10,0.575885047106657,activation
g27,g32,0.572679474892297,repression
g8,g58,0.558728218790826,repression
g10,g24,0.55698845442809,repression
g12,g44,0.553737261549099,activation
g45,g54,0.552695630484832,repression
g22,g31,0.551111591659729,activation
g53,g19,0.550099288812874,activation
g12,g31,0.548111748821769,activation
g39,g34,0.547639279345535,activation
g47,g44,0.541648656535231,activation
g57,g0,0.540056468580937,activation
g53,g61,0.539629239780845,repression
g8,g0,0.538331661688616,activation
g14,g60,0.536982567374743,repression
g8,g32,0.530368483353237,repression
g8,g54,0.519450933930236,repression
g11,g0,0.516982512645552,activation
g45,g34,0.514879129463956,repression
g45,g51,0.512589124991546,activation
g10,g0,0.508641400219468,repression
g6,g38,0.508503666982958,repression
g22,g60,0.508212994018405,activation
g50,g26,0.507786981254348,repression
g13,g57,0.504225972382176,activation
g13,g44,0.502958177790387,repression
g8,g5,0.49982045519881,repression
g8,g49,0.497172051966816,repression
g8,g4,0.49337271526416,activation
g61,g38,0.488107190580619,activation
g47,g10,0.48543538126636,repression
g26,g24,0.483587335012176,repression
g18,g51,0.482013391863915,activation
g14,g23,0.481232709029034,repression
g18,g28,0.479534741901751,repression
g39,g4,0.472954287727321,activation
g10,g44,0.472679497913399,activation
g39,g1,0.472407067612612,repression
g50,g1,0.471269997445156,activation
g47,g13,0.470171443702835,activation
g47,g37,0.465081195664125,repression
g57,g51,0.460870217420383,activation
g31,g0,0.460573007452549,repression
g22,g59,0.460524074325425,activation
g61,g4,0.456240434002515,repression
g12,g28,0.449841012483001,repression
g9,g44,0.449576624562133,activation
g13,g23,0.445933867860742,repression
g47,g57,0.444310746757448,activation
g12,g10,0.443722226413251,activation
g22,g13,0.441061709243404,activation
g12,g13,0.438701445076544,repression
g13,g9,0.438369349659392,repression
g53,g63,0.43667585602863,activation
g15,g63,0.433081821094365,activation
g46,g18,0.432398388303416,activation
g61,g54,0.428605608648331,activation
g39,g19,0.42456560099936,activation
g6,g58,0.422470619575054,repression
g61,g58,0.419227185721449,activation
g47,g59,0.417101234299044,activation
g41,g35,0.417013858876687,activation
g22,g9,0.412884157320901,activation
g13,g60,0.412070367178024,activation
g36,g14,0.410504655851168,activation
g22,g40,0.409837400129874,activation
g7,g51,0.40793215761963,activation
g50,g51,0.404591308965153,repression
g53,g8,0.402876484538056,activation
g22,g11,0.402554863276981,activation
g22,g35,0.396947467704654,repression
g6,g34,0.396407331602794,repression
g6,g4,0.395854751539161,repression
g18,g44,0.39480993748038,repression
g46,g41,0.3886252163273,activation
g15,g32,0.386633718376502,activation
g27,g62,0.386261343619402,activation
g46,g14,0.383610978734413,activation
g50,g34,0.378896275233559,activation
g26,g33,0.377748829707575,activation
g26,g32,0.375058347715133,activation
g53,g48,0.375037564639057,activation
g39,g2,0.373790744431948,activation
g56,g38,0.373420108172419,repression
g26,g0,0.373228419085727,activation
g27,g1,0.371177887272753,repression
g47,g15,0.371011191968397,repression
g39,g6,0.370765774943826,repression
g13,g53,0.37068741997126,repression
g27,g64,0.370116666597478,repression
g47,g27,0.36845898556512,activation
g22,g27,0.368107476768478,activation
g43,g33,0.366577059048203,repression
g45,g1,0.366070868429883,activation
g10,g21,0.365873576049657,activation
g47,g11,0.365639779270886,repression
g11,g57,0.365031676308595,repression
g50,g0,0.363585278900744,repression
g13,g55,0.363308150525643,activation
g61,g1,0.362950533696549,repression
g46,g13,0.361996645671446,activation
g50,g4,0.360881126305357,repression
g6,g1,0.360877419669897,activation
g53,g52,0.360496333956096,activation
g53,g6,0.359833757515792,activation
g39,g54,0.35940937132747,activation
g13,g16,0.358392769406322,activation
g7,g19,0.358029141922866,repression
g12,g59,0.357607552767027,repression
g61,g49,0.35425865443625,activation
g41,g31,0.35300356388752,activation
g27,g63,0.352301028114779,repression
g61,g5,0.351329589032061,activation
g8,g44,0.347861100241766,repression
g50,g39,0.347473436467195,repression
g27,g57,0.345260154075838,repression
g15,g24,0.344978693830353,repression
g28,g57,0.344408090797495,repression
g50,g15,0.344183587207102,repression
g27,g53,0.342860156856749,repression
g18,g23,0.342712181150106,repression
g20,g23,0.341987626543448,repression
g41,g60,0.341169209253682,repression
g13,g24,0.33858742200678,activation
g27,g7,0.338116901280711,repression
g8,g29,0.338056737767607,repression
g53,g43,0.336255528092587,activation
g41,g17,0.335913014206845,activation
g10,g7,0.334790439326443,repression
g18,g31,0.334767348258407,activation
g15,g21,0.334241065613893,activation
g36,g18,0.333554643403023,repression
g47,g26,0.330921008589363,repression
g13,g7,0.330283319640336,activation
g27,g16,0.329298588417728,repression
g39,g39,0.327672194128908,activation
g61,g6,0.327636618607883,activation
g15,g56,0.326894570672708,activation
g28,g0,0.326466858448804,activation
g10,g9,0.326190834309435,activation
g41,g11,0.326013019069802,repression
g46,g46,0.324326484017542,activation
g10,g16,0.324173219785998,activation
g1,g34,0.323199073537739,repression
g10,g49,0.322934863625347,activation
g27,g30,0.322797307039604,repression
g8,g1,0.322760961752759,activation
g22,g15,0.322482304620599,repression
g10,g63,0.322205982746732,repression
g22,g37,0.322058047734025,activation
g15,g30,0.321903693280905,activation
g41,g54,0.321371726552501,repression
g45,g4,0.319590174403044,activation
g10,g25,0.319342805256272,repression
g60,g44,0.317620958068963,activation
g41,g38,0.315280235410487,repression
g12,g37,0.314810559074438,repression
g15,g1,0.314715367453375,repression
g1,g38,0.314346751347755,activation
g10,g5,0.312859110710849,activation
g13,g52,0.312505286845692,repression
g46,g36,0.31182229855587,activation
g22,g18,0.311520673816438,repression
g20,g44,0.31123726739305,activation
g11,g32,0.309518811267419,activation
g47,g40,0.30842247840459,activation
g18,g13,0.308269774341361,activation
g11,g15,0.307789591869716,activation
g41,g37,0.306571452908977,activation
g10,g32,0.303337194226697,activation
g61,g32,0.302076950911835,repression
g14,g31,0.299824420486406,repression
g27,g56,0.299780562941242,repression
g61,g0,0.299526831924476,repression
g22,g0,0.29932820794687,repression
g41,g13,0.297589993841216,activation
g36,g41,0.297415460976118,activation
g27,g61,0.297171666670508,activation
g57,g44,0.297052261748516,activation
g36,g13,0.29581173481804,repression
g50,g38,0.294907181430319,activation
g8,g7,0.293898866383838,activation
g10,g62,0.292806490792911,activation
g50,g2,0.2916262417735,activation
g27,g15,0.290505468475562,activation
g10,g48,0.290209693638663,activation
g15,g2,0.290064421065676,activation
g36,g46,0.289314285924358,activation
g45,g2,0.289281619804593,repression
g47,g35,0.289129974311137,activation
g13,g31,0.287984639935546,activation
g50,g61,0.285730256929606,activation
g15,g44,0.28552371319748,activation
g47,g28,0.285064633257992,activation
g36,g47,0.284963621475067,activation
g27,g39,0.284847863446647,repression
g56,g33,0.284613066088351,repression
g45,g39,0.284327416301126,activation
g18,g20,0.283761396618164,activation
g50,g58,0.282141079217635,activation
g6,g26,0.281552366492974,activation
g13,g10,0.280940825495443,activation
g47,g22,0.280504754709989,activation
g8,g62,0.280464057699535,activation
g39,g45,0.277786937416448,activation
g39,g56,0.27750661947392,activation
g14,g22,0.276233285776578,activation
g31,g44,0.275726137799433,repression
g12,g27,0.273196446303738,repression
g27,g21,0.273140404960958,activation
g18,g9,0.272805572598506,repression
g10,g53,0.271859745400035,repression
g12,g8,0.270550123580687,repression
g27,g44,0.270017100425387,repression
g6,g50,0.26965085545726,activation
g0,g33,0.268749448679372,repression
g45,g6,0.268312466850081,repression
g12,g22,0.266349378644855,activation
g53,g50,0.26532877039734,activation
g15,g39,0.264554982060575,repression
g8,g24,0.264017459733705,activation
g15,g61,0.263818133589075,activation
g46,g12,0.263136216526282,repression
g27,g2,0.262478393106243,activation
g18,g10,0.261185197343559,activation
g7,g0,0.26112767277439,repression
g18,g57,0.260920719893756,repression
g22,g26,0.260917174116744,repression
g12,g26,0.260519119192043,activation
g29,g19,0.260188856744166,activation
g36,g12,0.259334174326753,repression
g41,g18,0.259278311238417,activation
g13,g11,0.259227994951716,activation
g36,g36,0.258769929207867,activation
g15,g48,0.258439603157045,repression
g47,g9,0.257634779267691,activation
g8,g35,0.257378348631586,activation
g12,g11,0.257066611259818,activation
g39,g3,0.256954173321201,activation
g15,g64,0.256356815450924,repression
